Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#621    Date: 20/07/06    Time: 08:15:14
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +2.0048E-02  +8.9256E+01   
+5.5579E-01  +1.9979E-02  +8.8972E+01   
+7.7227E-01  +2.0075E-02  +8.8618E+01   
+1.0731E+00  +2.0010E-02  +8.8086E+01   
+1.4910E+00  +1.9932E-02  +8.7384E+01   
+2.0718E+00  +1.9933E-02  +8.6385E+01   
+2.8787E+00  +1.9906E-02  +8.5016E+01   
+4.0000E+00  +1.9852E-02  +8.3102E+01   
+5.5580E+00  +1.9693E-02  +8.0479E+01   
+7.7228E+00  +1.9454E-02  +7.6881E+01   
+1.0731E+01  +1.9008E-02  +7.2063E+01   
+1.4910E+01  +1.8209E-02  +6.5818E+01   
+2.0718E+01  +1.6937E-02  +5.8004E+01   
+2.8787E+01  +1.5090E-02  +4.9053E+01   
+4.0000E+01  +1.2768E-02  +3.9601E+01   
+5.5580E+01  +1.0306E-02  +3.0941E+01   
+7.7228E+01  +7.8940E-03  +2.2988E+01   
+1.0731E+02  +5.9161E-03  +1.6762E+01   
+1.4910E+02  +4.3496E-03  +1.2019E+01   
+2.0718E+02  +3.1694E-03  +8.1824E+00   
+2.8787E+02  +2.2950E-03  +5.2503E+00   
+4.0000E+02  +1.6562E-03  +2.8922E+00   
+5.5580E+02  +1.1924E-03  +8.4023E-01   
+7.7228E+02  +8.5802E-04  -1.0760E+00   
+1.0731E+03  +6.1700E-04  -3.0904E+00   
+1.4910E+03  +4.4335E-04  -5.4168E+00   
+2.0718E+03  +3.1658E-04  -8.1604E+00   
+2.8787E+03  +2.2813E-04  -1.2026E+01   
+4.0000E+03  +1.6324E-04  -1.7017E+01   
+5.5580E+03  +1.1659E-04  -2.3982E+01   
+7.7228E+03  +8.1903E-05  -3.4245E+01   
+1.0731E+04  +5.4902E-05  -4.7448E+01   
+1.4910E+04  +3.5277E-05  -6.3721E+01   
+2.0718E+04  +2.0861E-05  -8.2474E+01   
+2.8787E+04  +1.1538E-05  -1.0322E+02   
+4.0000E+04  +6.0627E-06  -1.2422E+02   
+5.5580E+04  +3.4798E-06  -1.5078E+02   
+7.7228E+04  +1.6198E-06  -1.9095E+02   
+1.0000E+05  +8.6911E-07  -2.0742E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0659E-02  +1.4819E+02   
+5.5579E-01  +1.3255E-02  +1.3928E+02   
+7.7227E-01  +1.5702E-02  +1.2969E+02   
+1.0731E+00  +1.7656E-02  +1.2030E+02   
+1.4910E+00  +1.9022E-02  +1.1182E+02   
+2.0718E+00  +1.9869E-02  +1.0450E+02   
+2.8787E+00  +2.0346E-02  +9.8190E+01   
+4.0000E+00  +2.0545E-02  +9.2525E+01   
+5.5580E+00  +2.0538E-02  +8.7111E+01   
+7.7228E+00  +2.0347E-02  +8.1350E+01   
+1.0731E+01  +1.9879E-02  +7.4899E+01   
+1.4910E+01  +1.9011E-02  +6.7339E+01   
+2.0718E+01  +1.7588E-02  +5.8570E+01   
+2.8787E+01  +1.5555E-02  +4.8923E+01   
+4.0000E+01  +1.3047E-02  +3.9116E+01   
+5.5580E+01  +1.0476E-02  +3.0044E+01   
+7.7228E+01  +7.9781E-03  +2.2483E+01   
+1.0731E+02  +5.9475E-03  +1.6289E+01   
+1.4910E+02  +4.3707E-03  +1.1668E+01   
+2.0718E+02  +3.1723E-03  +7.9034E+00   
+2.8787E+02  +2.2966E-03  +5.0901E+00   
+4.0000E+02  +1.6564E-03  +2.8124E+00   
+5.5580E+02  +1.1937E-03  +8.2846E-01   
+7.7228E+02  +8.5921E-04  -1.0666E+00   
+1.0731E+03  +6.1799E-04  -3.0631E+00   
+1.4910E+03  +4.4422E-04  -5.3699E+00   
+2.0718E+03  +3.1895E-04  -8.2416E+00   
+2.8787E+03  +2.2865E-04  -1.1974E+01   
+4.0000E+03  +1.6359E-04  -1.6950E+01   
+5.5580E+03  +1.1679E-04  -2.3867E+01   
+7.7228E+03  +8.2054E-05  -3.4005E+01   
+1.0731E+04  +5.5149E-05  -4.7120E+01   
+1.4910E+04  +3.5534E-05  -6.3412E+01   
+2.0718E+04  +2.1049E-05  -8.2251E+01   
+2.8787E+04  +1.1662E-05  -1.0315E+02   
+4.0000E+04  +6.1244E-06  -1.2426E+02   
+5.5580E+04  +3.5112E-06  -1.5093E+02   
+7.7228E+04  +1.6310E-06  -1.9115E+02   
+1.0000E+05  +8.7362E-07  -2.0761E+02   

