Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#665    Date: 21/10/18    Time: 08:49:30
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9998E-02  +8.9267E+01   
+5.5579E-01  +1.9914E-02  +8.9026E+01   
+7.7227E-01  +2.0159E-02  +8.8952E+01   
+1.0731E+00  +1.9949E-02  +8.8110E+01   
+1.4910E+00  +1.9883E-02  +8.7391E+01   
+2.0718E+00  +1.9885E-02  +8.6402E+01   
+2.8787E+00  +1.9858E-02  +8.5019E+01   
+4.0000E+00  +1.9814E-02  +8.3113E+01   
+5.5580E+00  +1.9650E-02  +8.0497E+01   
+7.7228E+00  +1.9407E-02  +7.6932E+01   
+1.0731E+01  +1.8969E-02  +7.2097E+01   
+1.4910E+01  +1.8165E-02  +6.5843E+01   
+2.0718E+01  +1.6904E-02  +5.8074E+01   
+2.8787E+01  +1.5065E-02  +4.9105E+01   
+4.0000E+01  +1.2752E-02  +3.9647E+01   
+5.5580E+01  +1.0271E-02  +3.0557E+01   
+7.7228E+01  +7.8868E-03  +2.2990E+01   
+1.0731E+02  +5.9113E-03  +1.6809E+01   
+1.4910E+02  +4.3301E-03  +1.1926E+01   
+2.0718E+02  +3.1647E-03  +8.2405E+00   
+2.8787E+02  +2.2929E-03  +5.3468E+00   
+4.0000E+02  +1.6547E-03  +2.9988E+00   
+5.5580E+02  +1.1914E-03  +1.0188E+00   
+7.7228E+02  +8.5714E-04  -8.3693E-01   
+1.0731E+03  +6.1643E-04  -2.7624E+00   
+1.4910E+03  +4.4335E-04  -4.9828E+00   
+2.0718E+03  +3.1639E-04  -7.7570E+00   
+2.8787E+03  +2.2831E-04  -1.1241E+01   
+4.0000E+03  +1.6348E-04  -1.5955E+01   
+5.5580E+03  +1.1651E-04  -2.2373E+01   
+7.7228E+03  +8.2414E-05  -3.1160E+01   
+1.0731E+04  +5.7456E-05  -4.3254E+01   
+1.4910E+04  +3.8815E-05  -6.0305E+01   
+2.0718E+04  +2.4366E-05  -8.1926E+01   
+2.8787E+04  +1.3666E-05  -1.0924E+02   
+4.0000E+04  +6.3880E-06  -1.3786E+02   
+5.5580E+04  +2.8778E-06  -1.5825E+02   
+7.7228E+04  +1.5767E-06  -1.9225E+02   
+1.0000E+05  +7.8890E-07  -2.1295E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0757E-02  +1.4776E+02   
+5.5579E-01  +1.3359E-02  +1.3886E+02   
+7.7227E-01  +1.5786E-02  +1.2926E+02   
+1.0731E+00  +1.7709E-02  +1.1990E+02   
+1.4910E+00  +1.9048E-02  +1.1148E+02   
+2.0718E+00  +1.9874E-02  +1.0423E+02   
+2.8787E+00  +2.0332E-02  +9.7985E+01   
+4.0000E+00  +2.0529E-02  +9.2386E+01   
+5.5580E+00  +2.0528E-02  +8.6985E+01   
+7.7228E+00  +2.0326E-02  +8.1303E+01   
+1.0731E+01  +1.9853E-02  +7.4860E+01   
+1.4910E+01  +1.8989E-02  +6.7357E+01   
+2.0718E+01  +1.7574E-02  +5.8596E+01   
+2.8787E+01  +1.5539E-02  +4.8923E+01   
+4.0000E+01  +1.3029E-02  +3.9128E+01   
+5.5580E+01  +1.0437E-02  +3.0048E+01   
+7.7228E+01  +7.9570E-03  +2.2375E+01   
+1.0731E+02  +5.9379E-03  +1.6306E+01   
+1.4910E+02  +4.3697E-03  +1.1754E+01   
+2.0718E+02  +3.1712E-03  +7.9859E+00   
+2.8787E+02  +2.2939E-03  +5.1819E+00   
+4.0000E+02  +1.6547E-03  +2.8926E+00   
+5.5580E+02  +1.1922E-03  +9.7300E-01   
+7.7228E+02  +8.5822E-04  -8.7185E-01   
+1.0731E+03  +6.1757E-04  -2.7730E+00   
+1.4910E+03  +4.4427E-04  -4.9852E+00   
+2.0718E+03  +3.1899E-04  -7.7377E+00   
+2.8787E+03  +2.2881E-04  -1.1284E+01   
+4.0000E+03  +1.6376E-04  -1.6029E+01   
+5.5580E+03  +1.1675E-04  -2.2474E+01   
+7.7228E+03  +8.2575E-05  -3.1305E+01   
+1.0731E+04  +5.7529E-05  -4.3477E+01   
+1.4910E+04  +3.8895E-05  -6.0570E+01   
+2.0718E+04  +2.4273E-05  -8.2267E+01   
+2.8787E+04  +1.3590E-05  -1.0937E+02   
+4.0000E+04  +6.3594E-06  -1.3785E+02   
+5.5580E+04  +2.8728E-06  -1.5825E+02   
+7.7228E+04  +1.5756E-06  -1.9238E+02   
+1.0000E+05  +7.8700E-07  -2.1306E+02   

