Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#633    Date: 20/11/23    Time: 09:40:39
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9951E-02  +8.9239E+01   
+5.5579E-01  +1.9886E-02  +8.8958E+01   
+7.7227E-01  +1.9961E-02  +8.8586E+01   
+1.0731E+00  +1.9914E-02  +8.8078E+01   
+1.4910E+00  +1.9837E-02  +8.7380E+01   
+2.0718E+00  +1.9835E-02  +8.6388E+01   
+2.8787E+00  +1.9805E-02  +8.5030E+01   
+4.0000E+00  +1.9761E-02  +8.3117E+01   
+5.5580E+00  +1.9595E-02  +8.0530E+01   
+7.7228E+00  +1.9366E-02  +7.6931E+01   
+1.0731E+01  +1.8921E-02  +7.2155E+01   
+1.4910E+01  +1.8147E-02  +6.5897E+01   
+2.0718E+01  +1.6886E-02  +5.8121E+01   
+2.8787E+01  +1.5050E-02  +4.9199E+01   
+4.0000E+01  +1.2744E-02  +3.9718E+01   
+5.5580E+01  +1.0210E-02  +3.1306E+01   
+7.7228E+01  +7.9050E-03  +2.2958E+01   
+1.0731E+02  +5.9134E-03  +1.6783E+01   
+1.4910E+02  +4.3416E-03  +1.2056E+01   
+2.0718E+02  +3.1661E-03  +8.1514E+00   
+2.8787E+02  +2.2897E-03  +5.2535E+00   
+4.0000E+02  +1.6524E-03  +2.8817E+00   
+5.5580E+02  +1.1899E-03  +8.9201E-01   
+7.7228E+02  +8.5615E-04  -9.8994E-01   
+1.0731E+03  +6.1572E-04  -2.9818E+00   
+1.4910E+03  +4.4284E-04  -5.2832E+00   
+2.0718E+03  +3.1672E-04  -7.9685E+00   
+2.8787E+03  +2.2800E-04  -1.1873E+01   
+4.0000E+03  +1.6292E-04  -1.6903E+01   
+5.5580E+03  +1.1596E-04  -2.3828E+01   
+7.7228E+03  +8.0668E-05  -3.3736E+01   
+1.0731E+04  +5.4080E-05  -4.6327E+01   
+1.4910E+04  +3.4241E-05  -6.1889E+01   
+2.0718E+04  +1.9890E-05  -7.7178E+01   
+2.8787E+04  +1.2037E-05  -9.2580E+01   
+4.0000E+04  +7.4604E-06  -1.1830E+02   
+5.5580E+04  +3.9410E-06  -1.5482E+02   
+7.7228E+04  +1.6953E-06  -1.8699E+02   
+1.0000E+05  +1.0759E-06  -2.0510E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0630E-02  +1.4811E+02   
+5.5579E-01  +1.3215E-02  +1.3919E+02   
+7.7227E-01  +1.5653E-02  +1.2962E+02   
+1.0731E+00  +1.7593E-02  +1.2023E+02   
+1.4910E+00  +1.8951E-02  +1.1176E+02   
+2.0718E+00  +1.9789E-02  +1.0445E+02   
+2.8787E+00  +2.0255E-02  +9.8155E+01   
+4.0000E+00  +2.0451E-02  +9.2521E+01   
+5.5580E+00  +2.0453E-02  +8.7086E+01   
+7.7228E+00  +2.0260E-02  +8.1377E+01   
+1.0731E+01  +1.9794E-02  +7.4931E+01   
+1.4910E+01  +1.8930E-02  +6.7387E+01   
+2.0718E+01  +1.7534E-02  +5.8627E+01   
+2.8787E+01  +1.5505E-02  +4.8993E+01   
+4.0000E+01  +1.3011E-02  +3.9188E+01   
+5.5580E+01  +1.0402E-02  +2.9247E+01   
+7.7228E+01  +7.9332E-03  +2.2557E+01   
+1.0731E+02  +5.9345E-03  +1.6359E+01   
+1.4910E+02  +4.3516E-03  +1.1763E+01   
+2.0718E+02  +3.1625E-03  +7.9676E+00   
+2.8787E+02  +2.2915E-03  +5.1342E+00   
+4.0000E+02  +1.6532E-03  +2.8610E+00   
+5.5580E+02  +1.1907E-03  +8.6180E-01   
+7.7228E+02  +8.5783E-04  -1.0130E+00   
+1.0731E+03  +6.1686E-04  -2.9736E+00   
+1.4910E+03  +4.4345E-04  -5.2760E+00   
+2.0718E+03  +3.1851E-04  -8.1369E+00   
+2.8787E+03  +2.2847E-04  -1.1861E+01   
+4.0000E+03  +1.6325E-04  -1.6862E+01   
+5.5580E+03  +1.1640E-04  -2.3791E+01   
+7.7228E+03  +8.0900E-05  -3.3868E+01   
+1.0731E+04  +5.4142E-05  -4.6430E+01   
+1.4910E+04  +3.4253E-05  -6.1954E+01   
+2.0718E+04  +1.9903E-05  -7.7163E+01   
+2.8787E+04  +1.2047E-05  -9.2500E+01   
+4.0000E+04  +7.4828E-06  -1.1816E+02   
+5.5580E+04  +3.9637E-06  -1.5486E+02   
+7.7228E+04  +1.7041E-06  -1.8722E+02   
+1.0000E+05  +1.0812E-06  -2.0542E+02   

