Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#623    Date: 20/07/06    Time: 09:48:31
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +2.0010E-02  +8.9239E+01   
+5.5579E-01  +1.9946E-02  +8.8985E+01   
+7.7227E-01  +2.0015E-02  +8.8617E+01   
+1.0731E+00  +1.9976E-02  +8.8105E+01   
+1.4910E+00  +1.9900E-02  +8.7406E+01   
+2.0718E+00  +1.9901E-02  +8.6422E+01   
+2.8787E+00  +1.9876E-02  +8.5069E+01   
+4.0000E+00  +1.9823E-02  +8.3167E+01   
+5.5580E+00  +1.9661E-02  +8.0572E+01   
+7.7228E+00  +1.9429E-02  +7.7007E+01   
+1.0731E+01  +1.8997E-02  +7.2231E+01   
+1.4910E+01  +1.8226E-02  +6.6000E+01   
+2.0718E+01  +1.6970E-02  +5.8262E+01   
+2.8787E+01  +1.5133E-02  +4.9331E+01   
+4.0000E+01  +1.2824E-02  +3.9850E+01   
+5.5580E+01  +1.0283E-02  +3.1954E+01   
+7.7228E+01  +7.9414E-03  +2.3300E+01   
+1.0731E+02  +5.9571E-03  +1.6831E+01   
+1.4910E+02  +4.3903E-03  +1.2076E+01   
+2.0718E+02  +3.1899E-03  +8.1968E+00   
+2.8787E+02  +2.3061E-03  +5.2571E+00   
+4.0000E+02  +1.6635E-03  +2.9383E+00   
+5.5580E+02  +1.1980E-03  +9.2822E-01   
+7.7228E+02  +8.6218E-04  -9.4788E-01   
+1.0731E+03  +6.2035E-04  -2.9149E+00   
+1.4910E+03  +4.4596E-04  -5.1938E+00   
+2.0718E+03  +3.1906E-04  -7.8199E+00   
+2.8787E+03  +2.2979E-04  -1.1676E+01   
+4.0000E+03  +1.6452E-04  -1.6593E+01   
+5.5580E+03  +1.1740E-04  -2.3394E+01   
+7.7228E+03  +8.2708E-05  -3.3078E+01   
+1.0731E+04  +5.6303E-05  -4.6033E+01   
+1.4910E+04  +3.6732E-05  -6.2710E+01   
+2.0718E+04  +2.1942E-05  -8.2337E+01   
+2.8787E+04  +1.2142E-05  -1.0423E+02   
+4.0000E+04  +6.3814E-06  -1.2573E+02   
+5.5580E+04  +3.6966E-06  -1.5596E+02   
+7.7228E+04  +1.5426E-06  -1.9614E+02   
+1.0000E+05  +8.3681E-07  -2.0862E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0830E-02  +1.4764E+02   
+5.5579E-01  +1.3418E-02  +1.3864E+02   
+7.7227E-01  +1.5835E-02  +1.2904E+02   
+1.0731E+00  +1.7747E-02  +1.1970E+02   
+1.4910E+00  +1.9069E-02  +1.1132E+02   
+2.0718E+00  +1.9878E-02  +1.0410E+02   
+2.8787E+00  +2.0323E-02  +9.7903E+01   
+4.0000E+00  +2.0512E-02  +9.2335E+01   
+5.5580E+00  +2.0510E-02  +8.6974E+01   
+7.7228E+00  +2.0310E-02  +8.1327E+01   
+1.0731E+01  +1.9847E-02  +7.4931E+01   
+1.4910E+01  +1.8991E-02  +6.7391E+01   
+2.0718E+01  +1.7582E-02  +5.8665E+01   
+2.8787E+01  +1.5564E-02  +4.9075E+01   
+4.0000E+01  +1.3070E-02  +3.9287E+01   
+5.5580E+01  +1.0322E-02  +3.1099E+01   
+7.7228E+01  +7.9790E-03  +2.2729E+01   
+1.0731E+02  +5.9701E-03  +1.6429E+01   
+1.4910E+02  +4.3868E-03  +1.1478E+01   
+2.0718E+02  +3.1877E-03  +8.0245E+00   
+2.8787E+02  +2.3064E-03  +5.2129E+00   
+4.0000E+02  +1.6646E-03  +2.8945E+00   
+5.5580E+02  +1.1991E-03  +9.5043E-01   
+7.7228E+02  +8.6328E-04  -9.1718E-01   
+1.0731E+03  +6.2120E-04  -2.8677E+00   
+1.4910E+03  +4.4663E-04  -5.1350E+00   
+2.0718E+03  +3.2083E-04  -7.9327E+00   
+2.8787E+03  +2.3019E-04  -1.1567E+01   
+4.0000E+03  +1.6484E-04  -1.6444E+01   
+5.5580E+03  +1.1764E-04  -2.3187E+01   
+7.7228E+03  +8.2966E-05  -3.2769E+01   
+1.0731E+04  +5.6609E-05  -4.5650E+01   
+1.4910E+04  +3.7042E-05  -6.2304E+01   
+2.0718E+04  +2.2196E-05  -8.1991E+01   
+2.8787E+04  +1.2309E-05  -1.0404E+02   
+4.0000E+04  +6.4657E-06  -1.2568E+02   
+5.5580E+04  +3.7498E-06  -1.5604E+02   
+7.7228E+04  +1.5585E-06  -1.9650E+02   
+1.0000E+05  +8.4299E-07  -2.0883E+02   

