Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#628    Date: 20/11/17    Time: 11:35:15
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9977E-02  +8.9234E+01   
+5.5579E-01  +1.9910E-02  +8.8975E+01   
+7.7227E-01  +1.9987E-02  +8.8602E+01   
+1.0731E+00  +1.9936E-02  +8.8103E+01   
+1.4910E+00  +1.9863E-02  +8.7395E+01   
+2.0718E+00  +1.9862E-02  +8.6408E+01   
+2.8787E+00  +1.9835E-02  +8.5047E+01   
+4.0000E+00  +1.9789E-02  +8.3132E+01   
+5.5580E+00  +1.9623E-02  +8.0537E+01   
+7.7228E+00  +1.9389E-02  +7.6943E+01   
+1.0731E+01  +1.8953E-02  +7.2182E+01   
+1.4910E+01  +1.8172E-02  +6.5995E+01   
+2.0718E+01  +1.6904E-02  +5.8149E+01   
+2.8787E+01  +1.5079E-02  +4.9211E+01   
+4.0000E+01  +1.2775E-02  +3.9753E+01   
+5.5580E+01  +1.0144E-02  +3.0881E+01   
+7.7228E+01  +7.9095E-03  +2.3126E+01   
+1.0731E+02  +5.9345E-03  +1.6782E+01   
+1.4910E+02  +4.3501E-03  +1.1973E+01   
+2.0718E+02  +3.1741E-03  +8.1039E+00   
+2.8787E+02  +2.2968E-03  +5.2204E+00   
+4.0000E+02  +1.6570E-03  +2.8439E+00   
+5.5580E+02  +1.1930E-03  +8.3706E-01   
+7.7228E+02  +8.5852E-04  -1.0606E+00   
+1.0731E+03  +6.1728E-04  -3.0649E+00   
+1.4910E+03  +4.4366E-04  -5.3922E+00   
+2.0718E+03  +3.1676E-04  -8.1726E+00   
+2.8787E+03  +2.2839E-04  -1.2062E+01   
+4.0000E+03  +1.6324E-04  -1.7124E+01   
+5.5580E+03  +1.1655E-04  -2.4367E+01   
+7.7228E+03  +8.0085E-05  -3.4639E+01   
+1.0731E+04  +5.3025E-05  -4.7122E+01   
+1.4910E+04  +3.2938E-05  -6.2144E+01   
+2.0718E+04  +1.9194E-05  -7.5271E+01   
+2.8787E+04  +1.2026E-05  -8.9087E+01   
+4.0000E+04  +7.7111E-06  -1.1564E+02   
+5.5580E+04  +4.0650E-06  -1.5283E+02   
+7.7228E+04  +1.7830E-06  -1.8482E+02   
+1.0000E+05  +1.1579E-06  -2.0436E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0602E-02  +1.4832E+02   
+5.5579E-01  +1.3206E-02  +1.3943E+02   
+7.7227E-01  +1.5658E-02  +1.2985E+02   
+1.0731E+00  +1.7626E-02  +1.2045E+02   
+1.4910E+00  +1.9000E-02  +1.1193E+02   
+2.0718E+00  +1.9858E-02  +1.0458E+02   
+2.8787E+00  +2.0332E-02  +9.8254E+01   
+4.0000E+00  +2.0534E-02  +9.2587E+01   
+5.5580E+00  +2.0538E-02  +8.7121E+01   
+7.7228E+00  +2.0345E-02  +8.1377E+01   
+1.0731E+01  +1.9872E-02  +7.4929E+01   
+1.4910E+01  +1.9017E-02  +6.7379E+01   
+2.0718E+01  +1.7588E-02  +5.8615E+01   
+2.8787E+01  +1.5552E-02  +4.8951E+01   
+4.0000E+01  +1.3046E-02  +3.9153E+01   
+5.5580E+01  +1.0329E-02  +3.0629E+01   
+7.7228E+01  +7.9809E-03  +2.2546E+01   
+1.0731E+02  +5.9482E-03  +1.6277E+01   
+1.4910E+02  +4.3486E-03  +1.1604E+01   
+2.0718E+02  +3.1767E-03  +7.9576E+00   
+2.8787E+02  +2.2974E-03  +5.0922E+00   
+4.0000E+02  +1.6585E-03  +2.8097E+00   
+5.5580E+02  +1.1940E-03  +8.2683E-01   
+7.7228E+02  +8.5951E-04  -1.0474E+00   
+1.0731E+03  +6.1828E-04  -3.0356E+00   
+1.4910E+03  +4.4453E-04  -5.3483E+00   
+2.0718E+03  +3.1917E-04  -8.2318E+00   
+2.8787E+03  +2.2881E-04  -1.2001E+01   
+4.0000E+03  +1.6356E-04  -1.7032E+01   
+5.5580E+03  +1.1674E-04  -2.4212E+01   
+7.7228E+03  +8.0362E-05  -3.4405E+01   
+1.0731E+04  +5.3295E-05  -4.6881E+01   
+1.4910E+04  +3.3159E-05  -6.1933E+01   
+2.0718E+04  +1.9272E-05  -7.4975E+01   
+2.8787E+04  +1.2128E-05  -8.8970E+01   
+4.0000E+04  +7.7842E-06  -1.1558E+02   
+5.5580E+04  +4.1035E-06  -1.5294E+02   
+7.7228E+04  +1.7962E-06  -1.8501E+02   
+1.0000E+05  +1.1657E-06  -2.0461E+02   

