Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 072    Date: 16/06/11    Time: 10:50:04


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+4.0000E-01  +2.0031E-02  +8.9239E+01   
+5.5580E-01  +2.0020E-02  +8.8976E+01    
+7.7230E-01  +1.9972E-02  +8.8597E+01    
+1.0731E+00  +1.9894E-02  +8.8090E+01    
+1.4910E+00  +1.9915E-02  +8.7372E+01    
+2.0718E+00  +1.9770E-02  +8.6429E+01    
+2.8787E+00  +1.9795E-02  +8.5047E+01    
+4.0000E+00  +1.9861E-02  +8.3096E+01    
+5.5580E+00  +1.9694E-02  +8.0488E+01    
+7.7230E+00  +1.9390E-02  +7.6939E+01    
+1.0731E+01  +1.8875E-02  +7.2231E+01    
+1.4910E+01  +1.8347E-02  +6.5890E+01    
+2.0718E+01  +1.6919E-02  +5.7932E+01    
+2.8788E+01  +1.5101E-02  +4.9164E+01    
+4.0000E+01  +1.2769E-02  +3.9737E+01    
+5.5580E+01  +1.0366E-02  +3.0474E+01    
+7.7230E+01  +7.9069E-03  +2.3123E+01    
+1.0731E+02  +5.9268E-03  +1.6836E+01    
+1.4910E+02  +4.3551E-03  +1.1982E+01    
+2.0717E+02  +3.1652E-03  +8.1472E+00    
+2.8788E+02  +2.2939E-03  +5.3111E+00    
+4.0000E+02  +1.6552E-03  +2.9832E+00    
+5.5580E+02  +1.1918E-03  +1.0176E+00    
+7.7230E+02  +8.5856E-04  -8.5889E-01    
+1.0731E+03  +6.1733E-04  -2.7413E+00    
+1.4911E+03  +4.4405E-04  -4.9541E+00    
+2.0718E+03  +3.1873E-04  -7.5360E+00    
+2.8788E+03  +2.2939E-04  -1.1170E+01    
+4.0000E+03  +1.6489E-04  -1.5899E+01    
+5.5580E+03  +1.1877E-04  -2.2553E+01    
+7.7230E+03  +8.4546E-05  -3.2399E+01    
+1.0731E+04  +5.8736E-05  -4.5601E+01    
+1.4910E+04  +3.9449E-05  -6.3747E+01    
+2.0718E+04  +2.4126E-05  -8.6271E+01    
+2.8788E+04  +1.3449E-05  -1.1303E+02    
+4.0000E+04  +6.7908E-06  -1.4248E+02    
+5.5581E+04  +3.1544E-06  -1.7668E+02    
+6.0000E+04  +2.5656E-06  +1.7496E+02    
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+4.0000E-01  +1.0663E-02  +1.4800E+02   
+5.5580E-01  +1.3254E-02  +1.3913E+02    
+7.7230E-01  +1.5689E-02  +1.2962E+02    
+1.0731E+00  +1.7650E-02  +1.2028E+02    
+1.4910E+00  +1.9044E-02  +1.1184E+02    
+2.0718E+00  +1.9881E-02  +1.0453E+02    
+2.8787E+00  +2.0344E-02  +9.8228E+01    
+4.0000E+00  +2.0575E-02  +9.2567E+01    
+5.5580E+00  +2.0587E-02  +8.7104E+01    
+7.7230E+00  +2.0391E-02  +8.1351E+01    
+1.0731E+01  +1.9909E-02  +7.4867E+01    
+1.4910E+01  +1.8929E-02  +6.7156E+01    
+2.0718E+01  +1.7645E-02  +5.8598E+01    
+2.8788E+01  +1.5598E-02  +4.8964E+01    
+4.0000E+01  +1.3054E-02  +3.9073E+01    
+5.5580E+01  +1.0311E-02  +3.0428E+01    
+7.7230E+01  +7.9710E-03  +2.2430E+01    
+1.0731E+02  +5.9540E-03  +1.6310E+01    
+1.4910E+02  +4.3571E-03  +1.1572E+01    
+2.0717E+02  +3.1564E-03  +7.8649E+00    
+2.8788E+02  +2.2949E-03  +5.1452E+00    
+4.0000E+02  +1.6564E-03  +2.9023E+00    
+5.5580E+02  +1.1931E-03  +9.4375E-01    
+7.7230E+02  +8.5918E-04  -9.4936E-01    
+1.0731E+03  +6.1844E-04  -2.8174E+00    
+1.4911E+03  +4.4489E-04  -5.0456E+00    
+2.0718E+03  +3.1979E-04  -7.8172E+00    
+2.8788E+03  +2.2979E-04  -1.1393E+01    
+4.0000E+03  +1.6517E-04  -1.6187E+01    
+5.5580E+03  +1.1898E-04  -2.2963E+01    
+7.7230E+03  +8.4588E-05  -3.3044E+01    
+1.0731E+04  +5.8567E-05  -4.6453E+01    
+1.4910E+04  +3.9126E-05  -6.4786E+01    
+2.0718E+04  +2.3725E-05  -8.7543E+01    
+2.8788E+04  +1.3141E-05  -1.1397E+02    
+4.0000E+04  +6.6012E-06  -1.4313E+02    
+5.5581E+04  +3.0589E-06  -1.7697E+02    
+6.0000E+04  +2.4863E-06  +1.7474E+02    
