Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 073    Date: 16/06/11    Time: 11:04:01


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+4.0000E-01  +2.0024E-02  +8.9256E+01   
+5.5580E-01  +2.0016E-02  +8.8983E+01    
+7.7230E-01  +1.9952E-02  +8.8618E+01    
+1.0731E+00  +1.9859E-02  +8.8110E+01    
+1.4910E+00  +1.9855E-02  +8.7403E+01    
+2.0718E+00  +1.9889E-02  +8.6428E+01    
+2.8787E+00  +1.9752E-02  +8.5103E+01    
+4.0000E+00  +1.9857E-02  +8.3162E+01    
+5.5580E+00  +1.9683E-02  +8.0582E+01    
+7.7230E+00  +1.9367E-02  +7.7083E+01    
+1.0731E+01  +1.9066E-02  +7.2178E+01    
+1.4910E+01  +1.8337E-02  +6.6060E+01    
+2.0718E+01  +1.6927E-02  +5.8275E+01    
+2.8788E+01  +1.5144E-02  +4.9429E+01    
+4.0000E+01  +1.2832E-02  +4.0049E+01    
+5.5580E+01  +1.0407E-02  +3.1400E+01    
+7.7230E+01  +7.9666E-03  +2.3293E+01    
+1.0731E+02  +5.9658E-03  +1.7000E+01    
+1.4910E+02  +4.3925E-03  +1.1760E+01    
+2.0717E+02  +3.1853E-03  +8.1615E+00    
+2.8788E+02  +2.3079E-03  +5.3155E+00    
+4.0000E+02  +1.6645E-03  +3.0348E+00    
+5.5580E+02  +1.1983E-03  +1.0987E+00    
+7.7230E+02  +8.6256E-04  -7.9056E-01    
+1.0731E+03  +6.2098E-04  -2.6256E+00    
+1.4911E+03  +4.4679E-04  -4.7946E+00    
+2.0718E+03  +3.2127E-04  -7.4778E+00    
+2.8788E+03  +2.3085E-04  -1.1018E+01    
+4.0000E+03  +1.6613E-04  -1.5526E+01    
+5.5580E+03  +1.2007E-04  -2.2116E+01    
+7.7230E+03  +8.5420E-05  -3.2089E+01    
+1.0731E+04  +5.9229E-05  -4.5165E+01    
+1.4910E+04  +3.9663E-05  -6.3010E+01    
+2.0718E+04  +2.4240E-05  -8.4677E+01    
+2.8788E+04  +1.3825E-05  -1.1034E+02    
+4.0000E+04  +7.2656E-06  -1.4087E+02    
+5.5581E+04  +3.3137E-06  -1.7758E+02    
+6.0000E+04  +2.6636E-06  +1.7404E+02    
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+4.0000E-01  +1.0307E-02  +1.4888E+02   
+5.5580E-01  +1.2896E-02  +1.4019E+02    
+7.7230E-01  +1.5376E-02  +1.3074E+02    
+1.0731E+00  +1.7416E-02  +1.2136E+02    
+1.4910E+00  +1.8879E-02  +1.1279E+02    
+2.0718E+00  +1.9775E-02  +1.0531E+02    
+2.8787E+00  +2.0308E-02  +9.8838E+01    
+4.0000E+00  +2.0555E-02  +9.3042E+01    
+5.5580E+00  +2.0571E-02  +8.7489E+01    
+7.7230E+00  +2.0386E-02  +8.1664E+01    
+1.0731E+01  +1.9907E-02  +7.5155E+01    
+1.4910E+01  +1.9103E-02  +6.7664E+01    
+2.0718E+01  +1.7668E-02  +5.8968E+01    
+2.8788E+01  +1.5607E-02  +4.9137E+01    
+4.0000E+01  +1.3113E-02  +3.9280E+01    
+5.5580E+01  +1.0432E-02  +2.9558E+01    
+7.7230E+01  +8.0086E-03  +2.2524E+01    
+1.0731E+02  +5.9784E-03  +1.6404E+01    
+1.4910E+02  +4.3915E-03  +1.2170E+01    
+2.0717E+02  +3.1973E-03  +8.1338E+00    
+2.8788E+02  +2.3082E-03  +5.2763E+00    
+4.0000E+02  +1.6654E-03  +3.0486E+00    
+5.5580E+02  +1.2004E-03  +1.1408E+00    
+7.7230E+02  +8.6481E-04  -6.5724E-01    
+1.0731E+03  +6.2221E-04  -2.5451E+00    
+1.4911E+03  +4.4769E-04  -4.6786E+00    
+2.0718E+03  +3.2201E-04  -7.3117E+00    
+2.8788E+03  +2.3153E-04  -1.0708E+01    
+4.0000E+03  +1.6661E-04  -1.5246E+01    
+5.5580E+03  +1.2045E-04  -2.1698E+01    
+7.7230E+03  +8.5833E-05  -3.1477E+01    
+1.0731E+04  +5.9729E-05  -4.4368E+01    
+1.4910E+04  +4.0224E-05  -6.2092E+01    
+2.0718E+04  +2.4737E-05  -8.3950E+01    
+2.8788E+04  +1.4206E-05  -1.0964E+02    
+4.0000E+04  +7.4989E-06  -1.4050E+02    
+5.5581E+04  +3.4226E-06  -1.7768E+02    
+6.0000E+04  +2.7486E-06  +1.7384E+02    
