Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#648    Date: 21/05/25    Time: 06:58:39
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9974E-02  +8.9260E+01   
+5.5579E-01  +1.9902E-02  +8.8977E+01   
+7.7227E-01  +1.9989E-02  +8.8606E+01   
+1.0731E+00  +1.9934E-02  +8.8104E+01   
+1.4910E+00  +1.9855E-02  +8.7404E+01   
+2.0718E+00  +1.9858E-02  +8.6425E+01   
+2.8787E+00  +1.9828E-02  +8.5063E+01   
+4.0000E+00  +1.9779E-02  +8.3163E+01   
+5.5580E+00  +1.9618E-02  +8.0585E+01   
+7.7228E+00  +1.9384E-02  +7.7031E+01   
+1.0731E+01  +1.8953E-02  +7.2244E+01   
+1.4910E+01  +1.8184E-02  +6.6014E+01   
+2.0718E+01  +1.6927E-02  +5.8300E+01   
+2.8787E+01  +1.5105E-02  +4.9319E+01   
+4.0000E+01  +1.2808E-02  +3.9832E+01   
+5.5580E+01  +1.0350E-02  +3.0464E+01   
+7.7228E+01  +7.9323E-03  +2.3082E+01   
+1.0731E+02  +5.9454E-03  +1.6717E+01   
+1.4910E+02  +4.3777E-03  +1.1582E+01   
+2.0718E+02  +3.1771E-03  +8.0275E+00   
+2.8787E+02  +2.2958E-03  +5.0926E+00   
+4.0000E+02  +1.6541E-03  +2.7796E+00   
+5.5580E+02  +1.1922E-03  +7.7840E-01   
+7.7228E+02  +8.5793E-04  -1.0991E+00   
+1.0731E+03  +6.1728E-04  -3.1058E+00   
+1.4910E+03  +4.4376E-04  -5.4658E+00   
+2.0718E+03  +3.1690E-04  -8.5970E+00   
+2.8787E+03  +2.2844E-04  -1.2212E+01   
+4.0000E+03  +1.6344E-04  -1.7295E+01   
+5.5580E+03  +1.1734E-04  -2.4836E+01   
+7.7228E+03  +8.0232E-05  -3.5557E+01   
+1.0731E+04  +5.2958E-05  -4.8301E+01   
+1.4910E+04  +3.2847E-05  -6.3559E+01   
+2.0718E+04  +1.8825E-05  -7.7495E+01   
+2.8787E+04  +1.1523E-05  -9.1567E+01   
+4.0000E+04  +7.2688E-06  -1.1714E+02   
+5.5580E+04  +3.8349E-06  -1.5390E+02   
+7.7228E+04  +1.6453E-06  -1.8571E+02   
+1.0000E+05  +1.0447E-06  -2.0352E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0461E-02  +1.4880E+02   
+5.5579E-01  +1.3057E-02  +1.3995E+02   
+7.7227E-01  +1.5527E-02  +1.3036E+02   
+1.0731E+00  +1.7525E-02  +1.2092E+02   
+1.4910E+00  +1.8934E-02  +1.1233E+02   
+2.0718E+00  +1.9812E-02  +1.0490E+02   
+2.8787E+00  +2.0299E-02  +9.8483E+01   
+4.0000E+00  +2.0515E-02  +9.2761E+01   
+5.5580E+00  +2.0524E-02  +8.7253E+01   
+7.7228E+00  +2.0326E-02  +8.1498E+01   
+1.0731E+01  +1.9863E-02  +7.4990E+01   
+1.4910E+01  +1.9000E-02  +6.7430E+01   
+2.0718E+01  +1.7574E-02  +5.8651E+01   
+2.8787E+01  +1.5545E-02  +4.8958E+01   
+4.0000E+01  +1.3038E-02  +3.9145E+01   
+5.5580E+01  +1.0356E-02  +3.0562E+01   
+7.7228E+01  +7.9570E-03  +2.2508E+01   
+1.0731E+02  +5.9427E-03  +1.6294E+01   
+1.4910E+02  +4.3722E-03  +1.1708E+01   
+2.0718E+02  +3.1712E-03  +7.9379E+00   
+2.8787E+02  +2.2950E-03  +5.1160E+00   
+4.0000E+02  +1.6554E-03  +2.8208E+00   
+5.5580E+02  +1.1933E-03  +8.3578E-01   
+7.7228E+02  +8.5921E-04  -1.0674E+00   
+1.0731E+03  +6.1799E-04  -3.0891E+00   
+1.4910E+03  +4.4432E-04  -5.4147E+00   
+2.0718E+03  +3.1903E-04  -8.3278E+00   
+2.8787E+03  +2.2879E-04  -1.2138E+01   
+4.0000E+03  +1.6369E-04  -1.7165E+01   
+5.5580E+03  +1.1761E-04  -2.4632E+01   
+7.7228E+03  +8.0510E-05  -3.5311E+01   
+1.0731E+04  +5.3221E-05  -4.8031E+01   
+1.4910E+04  +3.3082E-05  -6.3311E+01   
+2.0718E+04  +1.8994E-05  -7.7317E+01   
+2.8787E+04  +1.1631E-05  -9.1439E+01   
+4.0000E+04  +7.3403E-06  -1.1710E+02   
+5.5580E+04  +3.8726E-06  -1.5405E+02   
+7.7228E+04  +1.6560E-06  -1.8590E+02   
+1.0000E+05  +1.0500E-06  -2.0370E+02   

