Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#620    Date: 20/07/06    Time: 07:50:41
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +2.0017E-02  +8.9262E+01   
+5.5579E-01  +1.9951E-02  +8.8977E+01   
+7.7227E-01  +2.0041E-02  +8.8600E+01   
+1.0731E+00  +1.9982E-02  +8.8088E+01   
+1.4910E+00  +1.9909E-02  +8.7378E+01   
+2.0718E+00  +1.9906E-02  +8.6387E+01   
+2.8787E+00  +1.9881E-02  +8.5009E+01   
+4.0000E+00  +1.9825E-02  +8.3094E+01   
+5.5580E+00  +1.9661E-02  +8.0471E+01   
+7.7228E+00  +1.9422E-02  +7.6895E+01   
+1.0731E+01  +1.8977E-02  +7.2054E+01   
+1.4910E+01  +1.8184E-02  +6.5791E+01   
+2.0718E+01  +1.6923E-02  +5.7991E+01   
+2.8787E+01  +1.5065E-02  +4.9028E+01   
+4.0000E+01  +1.2746E-02  +3.9592E+01   
+5.5580E+01  +1.0306E-02  +3.0611E+01   
+7.7228E+01  +7.8913E-03  +2.3047E+01   
+1.0731E+02  +5.9059E-03  +1.6748E+01   
+1.4910E+02  +4.3461E-03  +1.2081E+01   
+2.0718E+02  +3.1621E-03  +8.2312E+00   
+2.8787E+02  +2.2894E-03  +5.3342E+00   
+4.0000E+02  +1.6522E-03  +3.0090E+00   
+5.5580E+02  +1.1896E-03  +1.0198E+00   
+7.7228E+02  +8.5595E-04  -8.2897E-01   
+1.0731E+03  +6.1551E-04  -2.7405E+00   
+1.4910E+03  +4.4253E-04  -4.9357E+00   
+2.0718E+03  +3.1636E-04  -7.7582E+00   
+2.8787E+03  +2.2808E-04  -1.1119E+01   
+4.0000E+03  +1.6340E-04  -1.5809E+01   
+5.5580E+03  +1.1680E-04  -2.2324E+01   
+7.7228E+03  +8.2414E-05  -3.1659E+01   
+1.0731E+04  +5.6316E-05  -4.4010E+01   
+1.4910E+04  +3.7102E-05  -6.0027E+01   
+2.0718E+04  +2.2487E-05  -7.9156E+01   
+2.8787E+04  +1.2658E-05  -1.0076E+02   
+4.0000E+04  +6.7494E-06  -1.2226E+02   
+5.5580E+04  +3.9775E-06  -1.5127E+02   
+7.7228E+04  +1.7664E-06  -1.9342E+02   
+1.0000E+05  +9.3524E-07  -2.0942E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0757E-02  +1.4792E+02   
+5.5579E-01  +1.3361E-02  +1.3896E+02   
+7.7227E-01  +1.5799E-02  +1.2936E+02   
+1.0731E+00  +1.7728E-02  +1.1998E+02   
+1.4910E+00  +1.9072E-02  +1.1154E+02   
+2.0718E+00  +1.9901E-02  +1.0425E+02   
+2.8787E+00  +2.0365E-02  +9.8011E+01   
+4.0000E+00  +2.0555E-02  +9.2374E+01   
+5.5580E+00  +2.0547E-02  +8.6970E+01   
+7.7228E+00  +2.0340E-02  +8.1291E+01   
+1.0731E+01  +1.9874E-02  +7.4817E+01   
+1.4910E+01  +1.8991E-02  +6.7238E+01   
+2.0718E+01  +1.7580E-02  +5.8496E+01   
+2.8787E+01  +1.5534E-02  +4.8844E+01   
+4.0000E+01  +1.3026E-02  +3.9050E+01   
+5.5580E+01  +1.0333E-02  +3.0378E+01   
+7.7228E+01  +7.9524E-03  +2.2454E+01   
+1.0731E+02  +5.9345E-03  +1.6272E+01   
+1.4910E+02  +4.3516E-03  +1.1726E+01   
+2.0718E+02  +3.1647E-03  +7.9607E+00   
+2.8787E+02  +2.2905E-03  +5.1729E+00   
+4.0000E+02  +1.6522E-03  +2.9144E+00   
+5.5580E+02  +1.1907E-03  +1.0087E+00   
+7.7228E+02  +8.5704E-04  -8.0708E-01   
+1.0731E+03  +6.1657E-04  -2.6919E+00   
+1.4910E+03  +4.4335E-04  -4.8623E+00   
+2.0718E+03  +3.1855E-04  -7.5417E+00   
+2.8787E+03  +2.2860E-04  -1.1019E+01   
+4.0000E+03  +1.6380E-04  -1.5669E+01   
+5.5580E+03  +1.1710E-04  -2.2120E+01   
+7.7228E+03  +8.2680E-05  -3.1335E+01   
+1.0731E+04  +5.6641E-05  -4.3578E+01   
+1.4910E+04  +3.7450E-05  -5.9575E+01   
+2.0718E+04  +2.2771E-05  -7.8766E+01   
+2.8787E+04  +1.2851E-05  -1.0056E+02   
+4.0000E+04  +6.8520E-06  -1.2222E+02   
+5.5580E+04  +4.0412E-06  -1.5140E+02   
+7.7228E+04  +1.7873E-06  -1.9383E+02   
+1.0000E+05  +9.4281E-07  -2.0974E+02   

