Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 069    Date: 16/06/11    Time: 09:40:59


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+4.0000E-01  +1.9909E-02  +8.9254E+01   
+5.5580E-01  +1.9906E-02  +8.8979E+01    
+7.7230E-01  +1.9901E-02  +8.8607E+01    
+1.0731E+00  +1.9853E-02  +8.8082E+01    
+1.4910E+00  +1.9800E-02  +8.7404E+01    
+2.0718E+00  +1.9819E-02  +8.6421E+01    
+2.8787E+00  +1.9713E-02  +8.5080E+01    
+4.0000E+00  +1.9753E-02  +8.3150E+01    
+5.5580E+00  +1.9586E-02  +8.0542E+01    
+7.7230E+00  +1.9311E-02  +7.7009E+01    
+1.0731E+01  +1.8794E-02  +7.2289E+01    
+1.4910E+01  +1.8216E-02  +6.5957E+01    
+2.0718E+01  +1.6893E-02  +5.8010E+01    
+2.8788E+01  +1.5058E-02  +4.9357E+01    
+4.0000E+01  +1.2745E-02  +3.9877E+01    
+5.5580E+01  +1.0122E-02  +3.0972E+01    
+7.7230E+01  +7.9024E-03  +2.3260E+01    
+1.0731E+02  +5.9198E-03  +1.7062E+01    
+1.4910E+02  +4.3611E-03  +1.2169E+01    
+2.0717E+02  +3.1685E-03  +8.2307E+00    
+2.8788E+02  +2.2950E-03  +5.5194E+00    
+4.0000E+02  +1.6564E-03  +3.2041E+00    
+5.5580E+02  +1.1927E-03  +1.2709E+00    
+7.7230E+02  +8.5889E-04  -4.3070E-01    
+1.0731E+03  +6.1801E-04  -2.3140E+00    
+1.4911E+03  +4.4467E-04  -4.3592E+00    
+2.0718E+03  +3.1842E-04  -6.7457E+00    
+2.8788E+03  +2.3012E-04  -1.0060E+01    
+4.0000E+03  +1.6582E-04  -1.4347E+01    
+5.5580E+03  +1.2025E-04  -2.0549E+01    
+7.7230E+03  +8.6056E-05  -2.9781E+01    
+1.0731E+04  +6.0595E-05  -4.2209E+01    
+1.4910E+04  +4.1508E-05  -5.9768E+01    
+2.0718E+04  +2.6143E-05  -8.1866E+01    
+2.8788E+04  +1.5263E-05  -1.0868E+02    
+4.0000E+04  +8.0818E-06  -1.4129E+02    
+5.5581E+04  +3.6047E-06  -1.7986E+02    
+6.0000E+04  +2.8765E-06  +1.7163E+02    
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+4.0000E-01  +1.0403E-02  +1.4858E+02   
+5.5580E-01  +1.2989E-02  +1.3980E+02    
+7.7230E-01  +1.5434E-02  +1.3031E+02    
+1.0731E+00  +1.7433E-02  +1.2091E+02    
+1.4910E+00  +1.8852E-02  +1.1240E+02    
+2.0718E+00  +1.9731E-02  +1.0497E+02    
+2.8787E+00  +2.0235E-02  +9.8577E+01    
+4.0000E+00  +2.0451E-02  +9.2850E+01    
+5.5580E+00  +2.0463E-02  +8.7338E+01    
+7.7230E+00  +2.0272E-02  +8.1559E+01    
+1.0731E+01  +1.9815E-02  +7.5090E+01    
+1.4910E+01  +1.8996E-02  +6.7574E+01    
+2.0718E+01  +1.7472E-02  +5.8850E+01    
+2.8788E+01  +1.5495E-02  +4.9071E+01    
+4.0000E+01  +1.3041E-02  +3.9265E+01    
+5.5580E+01  +1.0370E-02  +3.0806E+01    
+7.7230E+01  +7.9670E-03  +2.2530E+01    
+1.0731E+02  +5.9483E-03  +1.6366E+01    
+1.4910E+02  +4.3741E-03  +1.1656E+01   
+2.0717E+02  +3.1781E-03  +8.1349E+00    
+2.8788E+02  +2.2965E-03  +5.3115E+00    
+4.0000E+02  +1.6562E-03  +3.1143E+00    
+5.5580E+02  +1.1944E-03  +1.2254E+00    
+7.7230E+02  +8.5961E-04  -5.7108E-01    
+1.0731E+03  +6.1908E-04  -2.3435E+00    
+1.4911E+03  +4.4541E-04  -4.3972E+00    
+2.0718E+03  +3.2051E-04  -6.9179E+00    
+2.8788E+03  +2.3061E-04  -1.0155E+01    
+4.0000E+03  +1.6618E-04  -1.4483E+01    
+5.5580E+03  +1.2050E-04  -2.0679E+01    
+7.7230E+03  +8.6287E-05  -3.0135E+01    
+1.0731E+04  +6.0615E-05  -4.2714E+01    
+1.4910E+04  +4.1399E-05  -6.0394E+01    
+2.0718E+04  +2.5944E-05  -8.2577E+01    
+2.8788E+04  +1.5070E-05  -1.0948E+02    
+4.0000E+04  +7.9456E-06  -1.4200E+02    
+5.5581E+04  +3.5268E-06  +1.7968E+02    
+6.0000E+04  +2.8119E-06  +1.7125E+02    
