Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#677    Date: 22/06/27    Time: 08:27:25
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9957E-02  +8.9269E+01   
+5.5579E-01  +1.9888E-02  +8.8992E+01   
+7.7227E-01  +1.9982E-02  +8.8602E+01   
+1.0731E+00  +1.9920E-02  +8.8097E+01   
+1.4910E+00  +1.9844E-02  +8.7396E+01   
+2.0718E+00  +1.9842E-02  +8.6402E+01   
+2.8787E+00  +1.9814E-02  +8.5046E+01   
+4.0000E+00  +1.9777E-02  +8.3128E+01   
+5.5580E+00  +1.9611E-02  +8.0566E+01   
+7.7228E+00  +1.9375E-02  +7.6953E+01   
+1.0731E+01  +1.8938E-02  +7.2181E+01   
+1.4910E+01  +1.8130E-02  +6.5743E+01   
+2.0718E+01  +1.6913E-02  +5.8161E+01   
+2.8787E+01  +1.5069E-02  +4.9197E+01   
+4.0000E+01  +1.2763E-02  +3.9732E+01   
+5.5580E+01  +1.0289E-02  +3.0812E+01   
+7.7228E+01  +7.9132E-03  +2.2986E+01   
+1.0731E+02  +5.9243E-03  +1.6743E+01   
+1.4910E+02  +4.3742E-03  +1.2019E+01   
+2.0718E+02  +3.1705E-03  +8.0442E+00   
+2.8787E+02  +2.2942E-03  +5.0677E+00   
+4.0000E+02  +1.6551E-03  +2.6591E+00   
+5.5580E+02  +1.1913E-03  +5.5616E-01   
+7.7228E+02  +8.5684E-04  -1.4474E+00   
+1.0731E+03  +6.1572E-04  -3.5961E+00   
+1.4910E+03  +4.4197E-04  -6.1091E+00   
+2.0718E+03  +3.1498E-04  -9.0827E+00   
+2.8787E+03  +2.2572E-04  -1.3292E+01   
+4.0000E+03  +1.5992E-04  -1.8633E+01   
+5.5580E+03  +1.1202E-04  -2.5701E+01   
+7.7228E+03  +7.6966E-05  -3.4909E+01   
+1.0731E+04  +5.1343E-05  -4.6548E+01   
+1.4910E+04  +3.3117E-05  -6.1159E+01   
+2.0718E+04  +2.0155E-05  -7.8114E+01   
+2.8787E+04  +1.1650E-05  -9.9107E+01   
+4.0000E+04  +6.0697E-06  -1.2191E+02   
+5.5580E+04  +3.4057E-06  -1.4367E+02   
+7.7228E+04  +1.7480E-06  -1.8576E+02   
+1.0000E+05  +9.3180E-07  -2.0092E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0767E-02  +1.4787E+02   
+5.5579E-01  +1.3363E-02  +1.3893E+02   
+7.7227E-01  +1.5791E-02  +1.2932E+02   
+1.0731E+00  +1.7734E-02  +1.1996E+02   
+1.4910E+00  +1.9075E-02  +1.1152E+02   
+2.0718E+00  +1.9906E-02  +1.0425E+02   
+2.8787E+00  +2.0362E-02  +9.7997E+01   
+4.0000E+00  +2.0557E-02  +9.2370E+01   
+5.5580E+00  +2.0557E-02  +8.6975E+01   
+7.7228E+00  +2.0354E-02  +8.1290E+01   
+1.0731E+01  +1.9876E-02  +7.4722E+01   
+1.4910E+01  +1.8767E-02  +6.7107E+01   
+2.0718E+01  +1.7666E-02  +5.8602E+01   
+2.8787E+01  +1.5527E-02  +4.8920E+01   
+4.0000E+01  +1.3046E-02  +3.9070E+01   
+5.5580E+01  +1.0386E-02  +3.0140E+01   
+7.7228E+01  +7.9754E-03  +2.2337E+01   
+1.0731E+02  +5.9441E-03  +1.6211E+01   
+1.4910E+02  +4.3581E-03  +1.1163E+01   
+2.0718E+02  +3.1720E-03  +7.7909E+00   
+2.8787E+02  +2.2952E-03  +4.9307E+00   
+4.0000E+02  +1.6560E-03  +2.5743E+00   
+5.5580E+02  +1.1928E-03  +5.2917E-01   
+7.7228E+02  +8.5812E-04  -1.4638E+00   
+1.0731E+03  +6.1679E-04  -3.6022E+00   
+1.4910E+03  +4.4274E-04  -6.1180E+00   
+2.0718E+03  +3.1705E-04  -9.2571E+00   
+2.8787E+03  +2.2617E-04  -1.3317E+01   
+4.0000E+03  +1.6026E-04  -1.8674E+01   
+5.5580E+03  +1.1228E-04  -2.5760E+01   
+7.7228E+03  +7.7161E-05  -3.5024E+01   
+1.0731E+04  +5.1456E-05  -4.6759E+01   
+1.4910E+04  +3.3128E-05  -6.1429E+01   
+2.0718E+04  +2.0141E-05  -7.8337E+01   
+2.8787E+04  +1.1629E-05  -9.9279E+01   
+4.0000E+04  +6.0536E-06  -1.2205E+02   
+5.5580E+04  +3.4108E-06  -1.4386E+02   
+7.7228E+04  +1.7436E-06  -1.8609E+02   
+1.0000E+05  +9.2870E-07  -2.0118E+02   

