Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 078    Date: 15/07/11    Time: 10:51:49


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+4.0000E-01  +2.0000E-02  +8.9247E+01   
+5.5580E-01  +1.9977E-02  +8.8984E+01    
+7.7230E-01  +1.9954E-02  +8.8562E+01    
+1.0731E+00  +1.9931E-02  +8.8077E+01    
+1.4910E+00  +1.9877E-02  +8.7414E+01    
+2.0718E+00  +1.9859E-02  +8.6408E+01    
+2.8787E+00  +1.9792E-02  +8.5056E+01    
+4.0000E+00  +1.9796E-02  +8.3094E+01    
+5.5580E+00  +1.9654E-02  +8.0498E+01    
+7.7230E+00  +1.9379E-02  +7.7012E+01    
+1.0731E+01  +1.9003E-02  +7.2098E+01    
+1.4910E+01  +1.8225E-02  +6.5775E+01    
+2.0718E+01  +1.6837E-02  +5.7610E+01    
+2.8788E+01  +1.5059E-02  +4.9134E+01    
+4.0000E+01  +1.2748E-02  +3.9761E+01    
+5.5580E+01  +1.0154E-02  +3.0305E+01    
+7.7230E+01  +7.9034E-03  +2.3193E+01    
+1.0731E+02  +5.9159E-03  +1.6743E+01    
+1.4910E+02  +4.3578E-03  +1.2247E+01    
+2.0717E+02  +3.1531E-03  +8.4150E+00    
+2.8788E+02  +2.2932E-03  +5.4871E+00    
+4.0000E+02  +1.6543E-03  +3.2472E+00    
+5.5580E+02  +1.1922E-03  +1.3527E+00    
+7.7230E+02  +8.5821E-04  -4.0215E-01    
+1.0731E+03  +6.1879E-04  -2.1845E+00    
+1.4911E+03  +4.4581E-04  -4.2550E+00    
+2.0718E+03  +3.1944E-04  -6.6918E+00    
+2.8788E+03  +2.3120E-04  -1.0123E+01    
+4.0000E+03  +1.6653E-04  -1.4606E+01    
+5.5580E+03  +1.2010E-04  -2.0856E+01    
+7.7230E+03  +8.6055E-05  -2.9876E+01    
+1.0731E+04  +6.0814E-05  -4.2404E+01    
+1.4910E+04  +4.1785E-05  -6.0394E+01    
+2.0718E+04  +2.6234E-05  -8.3376E+01    
+2.8788E+04  +1.4795E-05  -1.1122E+02    
+4.0000E+04  +7.5247E-06  -1.4142E+02    
+5.5581E+04  +3.4953E-06  -1.7687E+02    
+6.0000E+04  +2.8309E-06  +1.7452E+02    
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                              
+4.0000E-01  +1.0515E-02  +1.4826E+02   
+5.5580E-01  +1.3102E-02  +1.3944E+02    
+7.7230E-01  +1.5542E-02  +1.2997E+02    
+1.0731E+00  +1.7502E-02  +1.2064E+02    
+1.4910E+00  +1.8932E-02  +1.1211E+02    
+2.0718E+00  +1.9775E-02  +1.0474E+02    
+2.8787E+00  +2.0250E-02  +9.8406E+01    
+4.0000E+00  +2.0502E-02  +9.2703E+01    
+5.5580E+00  +2.0499E-02  +8.7224E+01    
+7.7230E+00  +2.0290E-02  +8.1443E+01    
+1.0731E+01  +1.9831E-02  +7.5014E+01    
+1.4910E+01  +1.9018E-02  +6.7392E+01    
+2.0718E+01  +1.7636E-02  +5.8363E+01    
+2.8788E+01  +1.5553E-02  +4.8944E+01    
+4.0000E+01  +1.3031E-02  +3.9139E+01    
+5.5580E+01  +1.0214E-02  +3.0313E+01    
+7.7230E+01  +7.9607E-03  +2.2530E+01    
+1.0731E+02  +5.9340E-03  +1.6347E+01    
+1.4910E+02  +4.3588E-03  +1.1736E+01    
+2.0717E+02  +3.1778E-03  +8.1671E+00    
+2.8788E+02  +2.2936E-03  +5.4061E+00    
+4.0000E+02  +1.6562E-03  +3.2437E+00    
+5.5580E+02  +1.1934E-03  +1.3972E+00    
+7.7230E+02  +8.5996E-04  -3.5617E-01    
+1.0731E+03  +6.1981E-04  -2.0324E+00    
+1.4911E+03  +4.4659E-04  -4.0385E+00    
+2.0718E+03  +3.2171E-04  -6.5193E+00    
+2.8788E+03  +2.3176E-04  -9.7308E+00    
+4.0000E+03  +1.6703E-04  -1.4054E+01    
+5.5580E+03  +1.2055E-04  -2.0092E+01    
+7.7230E+03  +8.6581E-05  -2.8804E+01    
+1.0731E+04  +6.1507E-05  -4.0963E+01    
+1.4910E+04  +4.2663E-05  -5.8575E+01    
+2.0718E+04  +2.7186E-05  -8.1457E+01    
+2.8788E+04  +1.5557E-05  -1.0970E+02    
+4.0000E+04  +7.9788E-06  -1.4058E+02    
+5.5581E+04  +3.7157E-06  -1.7682E+02    
+6.0000E+04  +3.0080E-06  +1.7440E+02    
