Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#631    Date: 20/11/23    Time: 08:57:25
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +2.0006E-02  +8.9262E+01   
+5.5579E-01  +1.9938E-02  +8.8983E+01   
+7.7227E-01  +2.0016E-02  +8.8603E+01   
+1.0731E+00  +1.9971E-02  +8.8085E+01   
+1.4910E+00  +1.9894E-02  +8.7390E+01   
+2.0718E+00  +1.9892E-02  +8.6393E+01   
+2.8787E+00  +1.9865E-02  +8.5032E+01   
+4.0000E+00  +1.9798E-02  +8.3111E+01   
+5.5580E+00  +1.9656E-02  +8.0516E+01   
+7.7228E+00  +1.9422E-02  +7.6918E+01   
+1.0731E+01  +1.8975E-02  +7.2133E+01   
+1.4910E+01  +1.8184E-02  +6.5886E+01   
+2.0718E+01  +1.6939E-02  +5.8143E+01   
+2.8787E+01  +1.5084E-02  +4.9186E+01   
+4.0000E+01  +1.2778E-02  +3.9680E+01   
+5.5580E+01  +1.0404E-02  +3.0314E+01   
+7.7228E+01  +7.9113E-03  +2.2897E+01   
+1.0731E+02  +5.9229E-03  +1.6799E+01   
+1.4910E+02  +4.3651E-03  +1.2051E+01   
+2.0718E+02  +3.1727E-03  +8.1519E+00   
+2.8787E+02  +2.2952E-03  +5.2670E+00   
+4.0000E+02  +1.6566E-03  +2.9175E+00   
+5.5580E+02  +1.1936E-03  +9.0997E-01   
+7.7228E+02  +8.5852E-04  -9.8513E-01   
+1.0731E+03  +6.1750E-04  -2.9710E+00   
+1.4910E+03  +4.4396E-04  -5.2737E+00   
+2.0718E+03  +3.1599E-04  -8.0416E+00   
+2.8787E+03  +2.2850E-04  -1.1850E+01   
+4.0000E+03  +1.6329E-04  -1.6871E+01   
+5.5580E+03  +1.1624E-04  -2.3752E+01   
+7.7228E+03  +8.0844E-05  -3.3643E+01   
+1.0731E+04  +5.4223E-05  -4.6143E+01   
+1.4910E+04  +3.4407E-05  -6.1681E+01   
+2.0718E+04  +1.9972E-05  -7.7140E+01   
+2.8787E+04  +1.1965E-05  -9.2437E+01   
+4.0000E+04  +7.4330E-06  -1.1727E+02   
+5.5580E+04  +3.9894E-06  -1.5365E+02   
+7.7228E+04  +1.7189E-06  -1.8626E+02   
+1.0000E+05  +1.0871E-06  -2.0388E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0727E-02  +1.4785E+02   
+5.5579E-01  +1.3318E-02  +1.3890E+02   
+7.7227E-01  +1.5741E-02  +1.2931E+02   
+1.0731E+00  +1.7666E-02  +1.1996E+02   
+1.4910E+00  +1.9010E-02  +1.1154E+02   
+2.0718E+00  +1.9832E-02  +1.0427E+02   
+2.8787E+00  +2.0292E-02  +9.8033E+01   
+4.0000E+00  +2.0489E-02  +9.2425E+01   
+5.5580E+00  +2.0484E-02  +8.7023E+01   
+7.7228E+00  +2.0288E-02  +8.1319E+01   
+1.0731E+01  +1.9821E-02  +7.4917E+01   
+1.4910E+01  +1.8949E-02  +6.7377E+01   
+2.0718E+01  +1.7548E-02  +5.8598E+01   
+2.8787E+01  +1.5528E-02  +4.8990E+01   
+4.0000E+01  +1.3035E-02  +3.9184E+01   
+5.5580E+01  +1.0258E-02  +3.0621E+01   
+7.7228E+01  +7.9662E-03  +2.2677E+01   
+1.0731E+02  +5.9420E-03  +1.6359E+01   
+1.4910E+02  +4.3651E-03  +1.1438E+01   
+2.0718E+02  +3.1705E-03  +7.9888E+00   
+2.8787E+02  +2.2955E-03  +5.1746E+00   
+4.0000E+02  +1.6574E-03  +2.9098E+00   
+5.5580E+02  +1.1941E-03  +9.0188E-01   
+7.7228E+02  +8.5961E-04  -9.6622E-01   
+1.0731E+03  +6.1871E-04  -2.9426E+00   
+1.4910E+03  +4.4468E-04  -5.2247E+00   
+2.0718E+03  +3.1943E-04  -8.0640E+00   
+2.8787E+03  +2.2897E-04  -1.1781E+01   
+4.0000E+03  +1.6361E-04  -1.6745E+01   
+5.5580E+03  +1.1633E-04  -2.3617E+01   
+7.7228E+03  +8.1059E-05  -3.3286E+01   
+1.0731E+04  +5.4536E-05  -4.5784E+01   
+1.4910E+04  +3.4713E-05  -6.1347E+01   
+2.0718E+04  +2.0192E-05  -7.7006E+01   
+2.8787E+04  +1.2101E-05  -9.2357E+01   
+4.0000E+04  +7.5234E-06  -1.1730E+02   
+5.5580E+04  +4.0351E-06  -1.5383E+02   
+7.7228E+04  +1.7338E-06  -1.8657E+02   
+1.0000E+05  +1.0944E-06  -2.0424E+02   

