Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#627    Date: 20/11/17    Time: 11:14:43
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9968E-02  +8.9269E+01   
+5.5579E-01  +1.9901E-02  +8.8987E+01   
+7.7227E-01  +1.9977E-02  +8.8606E+01   
+1.0731E+00  +1.9933E-02  +8.8097E+01   
+1.4910E+00  +1.9858E-02  +8.7396E+01   
+2.0718E+00  +1.9858E-02  +8.6410E+01   
+2.8787E+00  +1.9828E-02  +8.5039E+01   
+4.0000E+00  +1.9770E-02  +8.3149E+01   
+5.5580E+00  +1.9618E-02  +8.0532E+01   
+7.7228E+00  +1.9373E-02  +7.6985E+01   
+1.0731E+01  +1.8945E-02  +7.2180E+01   
+1.4910E+01  +1.8145E-02  +6.5856E+01   
+2.0718E+01  +1.6902E-02  +5.8097E+01   
+2.8787E+01  +1.5071E-02  +4.9218E+01   
+4.0000E+01  +1.2762E-02  +3.9777E+01   
+5.5580E+01  +1.0362E-02  +3.0353E+01   
+7.7228E+01  +7.8968E-03  +2.3167E+01   
+1.0731E+02  +5.9263E-03  +1.6932E+01   
+1.4910E+02  +4.3601E-03  +1.2265E+01   
+2.0718E+02  +3.1785E-03  +8.3251E+00   
+2.8787E+02  +2.3019E-03  +5.4297E+00   
+4.0000E+02  +1.6619E-03  +3.0395E+00   
+5.5580E+02  +1.1966E-03  +1.0391E+00   
+7.7228E+02  +8.6119E-04  -8.3471E-01   
+1.0731E+03  +6.1949E-04  -2.7854E+00   
+1.4910E+03  +4.4540E-04  -5.0261E+00   
+2.0718E+03  +3.1815E-04  -8.0286E+00   
+2.8787E+03  +2.2952E-04  -1.1367E+01   
+4.0000E+03  +1.6440E-04  -1.6143E+01   
+5.5580E+03  +1.1831E-04  -2.2962E+01   
+7.7228E+03  +8.1969E-05  -3.3271E+01   
+1.0731E+04  +5.4977E-05  -4.5592E+01   
+1.4910E+04  +3.4866E-05  -6.1292E+01   
+2.0718E+04  +2.0308E-05  -7.6355E+01   
+2.8787E+04  +1.2282E-05  -9.1169E+01   
+4.0000E+04  +7.7618E-06  -1.1628E+02   
+5.5580E+04  +4.1106E-06  -1.5340E+02   
+7.7228E+04  +1.7673E-06  -1.8530E+02   
+1.0000E+05  +1.1346E-06  -2.0308E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0587E-02  +1.4818E+02   
+5.5579E-01  +1.3173E-02  +1.3927E+02   
+7.7227E-01  +1.5609E-02  +1.2970E+02   
+1.0731E+00  +1.7556E-02  +1.2033E+02   
+1.4910E+00  +1.8913E-02  +1.1185E+02   
+2.0718E+00  +1.9755E-02  +1.0452E+02   
+2.8787E+00  +2.0225E-02  +9.8237E+01   
+4.0000E+00  +2.0413E-02  +9.2588E+01   
+5.5580E+00  +2.0434E-02  +8.7175E+01   
+7.7228E+00  +2.0230E-02  +8.1518E+01   
+1.0731E+01  +1.9780E-02  +7.5076E+01   
+1.4910E+01  +1.8932E-02  +6.7587E+01   
+2.0718E+01  +1.7532E-02  +5.8761E+01   
+2.8787E+01  +1.5527E-02  +4.9151E+01   
+4.0000E+01  +1.3043E-02  +3.9376E+01   
+5.5580E+01  +1.0502E-02  +3.0796E+01   
+7.7228E+01  +7.9607E-03  +2.2688E+01   
+1.0731E+02  +5.9592E-03  +1.6426E+01   
+1.4910E+02  +4.3737E-03  +1.1872E+01   
+2.0718E+02  +3.1826E-03  +8.0848E+00   
+2.8787E+02  +2.3034E-03  +5.2627E+00   
+4.0000E+02  +1.6629E-03  +2.9204E+00   
+5.5580E+02  +1.1979E-03  +9.9736E-01   
+7.7228E+02  +8.6238E-04  -8.5494E-01   
+1.0731E+03  +6.2049E-04  -2.7907E+00   
+1.4910E+03  +4.4627E-04  -5.0341E+00   
+2.0718E+03  +3.2054E-04  -7.8000E+00   
+2.8787E+03  +2.3005E-04  -1.1403E+01   
+4.0000E+03  +1.6482E-04  -1.6166E+01   
+5.5580E+03  +1.1887E-04  -2.3025E+01   
+7.7228E+03  +8.2158E-05  -3.3580E+01   
+1.0731E+04  +5.4946E-05  -4.5898E+01   
+1.4910E+04  +3.4765E-05  -6.1555E+01   
+2.0718E+04  +2.0229E-05  -7.6508E+01   
+2.8787E+04  +1.2231E-05  -9.1198E+01   
+4.0000E+04  +7.7351E-06  -1.1619E+02   
+5.5580E+04  +4.1120E-06  -1.5331E+02   
+7.7228E+04  +1.7701E-06  -1.8537E+02   
+1.0000E+05  +1.1373E-06  -2.0322E+02   

