Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#634    Date: 20/11/23    Time: 10:21:39
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9969E-02  +8.9237E+01   
+5.5579E-01  +1.9896E-02  +8.8975E+01   
+7.7227E-01  +1.9979E-02  +8.8609E+01   
+1.0731E+00  +1.9928E-02  +8.8095E+01   
+1.4910E+00  +1.9854E-02  +8.7408E+01   
+2.0718E+00  +1.9855E-02  +8.6417E+01   
+2.8787E+00  +1.9828E-02  +8.5060E+01   
+4.0000E+00  +1.9782E-02  +8.3146E+01   
+5.5580E+00  +1.9618E-02  +8.0565E+01   
+7.7228E+00  +1.9384E-02  +7.6987E+01   
+1.0731E+01  +1.8949E-02  +7.2214E+01   
+1.4910E+01  +1.8172E-02  +6.5997E+01   
+2.0718E+01  +1.6925E-02  +5.8217E+01   
+2.8787E+01  +1.5088E-02  +4.9304E+01   
+4.0000E+01  +1.2787E-02  +3.9815E+01   
+5.5580E+01  +1.0192E-02  +3.1653E+01   
+7.7228E+01  +7.9268E-03  +2.3325E+01   
+1.0731E+02  +5.9386E-03  +1.6798E+01   
+1.4910E+02  +4.3697E-03  +1.1731E+01   
+2.0718E+02  +3.1789E-03  +8.1452E+00   
+2.8787E+02  +2.2989E-03  +5.2281E+00   
+4.0000E+02  +1.6591E-03  +2.9098E+00   
+5.5580E+02  +1.1946E-03  +9.0083E-01   
+7.7228E+02  +8.5931E-04  -9.6414E-01   
+1.0731E+03  +6.1835E-04  -2.9294E+00   
+1.4910E+03  +4.4468E-04  -5.2207E+00   
+2.0718E+03  +3.1939E-04  -8.1576E+00   
+2.8787E+03  +2.2902E-04  -1.1837E+01   
+4.0000E+03  +1.6363E-04  -1.6883E+01   
+5.5580E+03  +1.1592E-04  -2.3772E+01   
+7.7228E+03  +8.1059E-05  -3.2954E+01   
+1.0731E+04  +5.5041E-05  -4.5627E+01   
+1.4910E+04  +3.5318E-05  -6.1735E+01   
+2.0718E+04  +2.0691E-05  -7.8486E+01   
+2.8787E+04  +1.2240E-05  -9.5782E+01   
+4.0000E+04  +7.2630E-06  -1.2142E+02   
+5.5580E+04  +3.7589E-06  -1.5651E+02   
+7.7228E+04  +1.6032E-06  -1.8800E+02   
+1.0000E+05  +1.0028E-06  -2.0510E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0711E-02  +1.4795E+02   
+5.5579E-01  +1.3311E-02  +1.3901E+02   
+7.7227E-01  +1.5739E-02  +1.2942E+02   
+1.0731E+00  +1.7682E-02  +1.2006E+02   
+1.4910E+00  +1.9028E-02  +1.1162E+02   
+2.0718E+00  +1.9862E-02  +1.0433E+02   
+2.8787E+00  +2.0320E-02  +9.8062E+01   
+4.0000E+00  +2.0512E-02  +9.2473E+01   
+5.5580E+00  +2.0519E-02  +8.7043E+01   
+7.7228E+00  +2.0317E-02  +8.1379E+01   
+1.0731E+01  +1.9853E-02  +7.4913E+01   
+1.4910E+01  +1.8991E-02  +6.7385E+01   
+2.0718E+01  +1.7576E-02  +5.8619E+01   
+2.8787E+01  +1.5550E-02  +4.8972E+01   
+4.0000E+01  +1.3044E-02  +3.9205E+01   
+5.5580E+01  +1.0539E-02  +3.0487E+01   
+7.7228E+01  +7.9836E-03  +2.2680E+01   
+1.0731E+02  +5.9550E-03  +1.6349E+01   
+1.4910E+02  +4.3767E-03  +1.1583E+01   
+2.0718E+02  +3.1749E-03  +7.9973E+00   
+2.8787E+02  +2.2995E-03  +5.1572E+00   
+4.0000E+02  +1.6591E-03  +2.8499E+00   
+5.5580E+02  +1.1961E-03  +8.8778E-01   
+7.7228E+02  +8.6080E-04  -1.0060E+00   
+1.0731E+03  +6.1942E-04  -2.9795E+00   
+1.4910E+03  +4.4524E-04  -5.2695E+00   
+2.0718E+03  +3.1987E-04  -8.1503E+00   
+2.8787E+03  +2.2937E-04  -1.1893E+01   
+4.0000E+03  +1.6391E-04  -1.6962E+01   
+5.5580E+03  +1.1617E-04  -2.3893E+01   
+7.7228E+03  +8.1171E-05  -3.3276E+01   
+1.0731E+04  +5.4952E-05  -4.5988E+01   
+1.4910E+04  +3.5160E-05  -6.2051E+01   
+2.0718E+04  +2.0551E-05  -7.8665E+01   
+2.8787E+04  +1.2151E-05  -9.5848E+01   
+4.0000E+04  +7.2130E-06  -1.2135E+02   
+5.5580E+04  +3.7442E-06  -1.5643E+02   
+7.7228E+04  +1.5986E-06  -1.8799E+02   
+1.0000E+05  +1.0003E-06  -2.0512E+02   

