Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#626    Date: 20/11/17    Time: 10:45:53
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9994E-02  +8.9234E+01   
+5.5579E-01  +1.9927E-02  +8.8969E+01   
+7.7227E-01  +1.9999E-02  +8.8600E+01   
+1.0731E+00  +1.9958E-02  +8.8087E+01   
+1.4910E+00  +1.9883E-02  +8.7382E+01   
+2.0718E+00  +1.9883E-02  +8.6405E+01   
+2.8787E+00  +1.9860E-02  +8.5036E+01   
+4.0000E+00  +1.9811E-02  +8.3101E+01   
+5.5580E+00  +1.9643E-02  +8.0513E+01   
+7.7228E+00  +1.9409E-02  +7.6912E+01   
+1.0731E+01  +1.8953E-02  +7.2140E+01   
+1.4910E+01  +1.8199E-02  +6.5880E+01   
+2.0718E+01  +1.6915E-02  +5.8061E+01   
+2.8787E+01  +1.5074E-02  +4.9172E+01   
+4.0000E+01  +1.2757E-02  +3.9720E+01   
+5.5580E+01  +1.0348E-02  +3.0393E+01   
+7.7228E+01  +7.9122E-03  +2.2987E+01   
+1.0731E+02  +5.9209E-03  +1.6905E+01   
+1.4910E+02  +4.3446E-03  +1.2133E+01   
+2.0718E+02  +3.1749E-03  +8.3370E+00   
+2.8787E+02  +2.2997E-03  +5.3705E+00   
+4.0000E+02  +1.6602E-03  +2.9829E+00   
+5.5580E+02  +1.1962E-03  +9.5398E-01   
+7.7228E+02  +8.6080E-04  -9.5950E-01   
+1.0731E+03  +6.1906E-04  -2.9673E+00   
+1.4910E+03  +4.4504E-04  -5.2747E+00   
+2.0718E+03  +3.1789E-04  -8.0068E+00   
+2.8787E+03  +2.2910E-04  -1.1884E+01   
+4.0000E+03  +1.6367E-04  -1.6927E+01   
+5.5580E+03  +1.1621E-04  -2.3862E+01   
+7.7228E+03  +8.0910E-05  -3.3466E+01   
+1.0731E+04  +5.4442E-05  -4.6022E+01   
+1.4910E+04  +3.4542E-05  -6.1961E+01   
+2.0718E+04  +2.0085E-05  -7.7507E+01   
+2.8787E+04  +1.1964E-05  -9.3047E+01   
+4.0000E+04  +7.3767E-06  -1.1757E+02   
+5.5580E+04  +3.9049E-06  -1.5328E+02   
+7.7228E+04  +1.6984E-06  -1.8518E+02   
+1.0000E+05  +1.0791E-06  -2.0298E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0563E-02  +1.4831E+02   
+5.5579E-01  +1.3150E-02  +1.3944E+02   
+7.7227E-01  +1.5592E-02  +1.2987E+02   
+1.0731E+00  +1.7554E-02  +1.2048E+02   
+1.4910E+00  +1.8930E-02  +1.1198E+02   
+2.0718E+00  +1.9785E-02  +1.0463E+02   
+2.8787E+00  +2.0264E-02  +9.8308E+01   
+4.0000E+00  +2.0467E-02  +9.2641E+01   
+5.5580E+00  +2.0469E-02  +8.7188E+01   
+7.7228E+00  +2.0284E-02  +8.1500E+01   
+1.0731E+01  +1.9812E-02  +7.5032E+01   
+1.4910E+01  +1.8947E-02  +6.7467E+01   
+2.0718E+01  +1.7570E-02  +5.8757E+01   
+2.8787E+01  +1.5541E-02  +4.9088E+01   
+4.0000E+01  +1.3046E-02  +3.9295E+01   
+5.5580E+01  +1.0416E-02  +2.9531E+01   
+7.7228E+01  +8.0002E-03  +2.2659E+01   
+1.0731E+02  +5.9564E-03  +1.6391E+01   
+1.4910E+02  +4.3666E-03  +1.1780E+01   
+2.0718E+02  +3.1796E-03  +8.0273E+00   
+2.8787E+02  +2.3021E-03  +5.1623E+00   
+4.0000E+02  +1.6619E-03  +2.8971E+00   
+5.5580E+02  +1.1974E-03  +9.0279E-01   
+7.7228E+02  +8.6199E-04  -9.8925E-01   
+1.0731E+03  +6.2020E-04  -2.9842E+00   
+1.4910E+03  +4.4596E-04  -5.2935E+00   
+2.0718E+03  +3.2028E-04  -8.1756E+00   
+2.8787E+03  +2.2963E-04  -1.1944E+01   
+4.0000E+03  +1.6408E-04  -1.6984E+01   
+5.5580E+03  +1.1682E-04  -2.3973E+01   
+7.7228E+03  +8.1105E-05  -3.3893E+01   
+1.0731E+04  +5.4367E-05  -4.6485E+01   
+1.4910E+04  +3.4371E-05  -6.2387E+01   
+2.0718E+04  +1.9949E-05  -7.7826E+01   
+2.8787E+04  +1.1869E-05  -9.3183E+01   
+4.0000E+04  +7.3226E-06  -1.1759E+02   
+5.5580E+04  +3.8820E-06  -1.5325E+02   
+7.7228E+04  +1.6902E-06  -1.8515E+02   
+1.0000E+05  +1.0752E-06  -2.0298E+02   

