Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#622    Date: 20/07/06    Time: 09:14:15
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +2.0016E-02  +8.9265E+01   
+5.5579E-01  +1.9951E-02  +8.8983E+01   
+7.7227E-01  +2.0037E-02  +8.8609E+01   
+1.0731E+00  +1.9977E-02  +8.8100E+01   
+1.4910E+00  +1.9904E-02  +8.7395E+01   
+2.0718E+00  +1.9906E-02  +8.6406E+01   
+2.8787E+00  +1.9876E-02  +8.5037E+01   
+4.0000E+00  +1.9827E-02  +8.3129E+01   
+5.5580E+00  +1.9666E-02  +8.0528E+01   
+7.7228E+00  +1.9427E-02  +7.6964E+01   
+1.0731E+01  +1.8988E-02  +7.2150E+01   
+1.4910E+01  +1.8199E-02  +6.5924E+01   
+2.0718E+01  +1.6944E-02  +5.8137E+01   
+2.8787E+01  +1.5104E-02  +4.9185E+01   
+4.0000E+01  +1.2791E-02  +3.9728E+01   
+5.5580E+01  +1.0248E-02  +3.0458E+01   
+7.7228E+01  +7.9204E-03  +2.3091E+01   
+1.0731E+02  +5.9359E-03  +1.6785E+01   
+1.4910E+02  +4.3757E-03  +1.1903E+01   
+2.0718E+02  +3.1752E-03  +8.1465E+00   
+2.8787E+02  +2.2963E-03  +5.2622E+00   
+4.0000E+02  +1.6564E-03  +2.9217E+00   
+5.5580E+02  +1.1930E-03  +9.5743E-01   
+7.7228E+02  +8.5852E-04  -8.8930E-01   
+1.0731E+03  +6.1750E-04  -2.8251E+00   
+1.4910E+03  +4.4401E-04  -5.0583E+00   
+2.0718E+03  +3.1778E-04  -7.5991E+00   
+2.8787E+03  +2.2892E-04  -1.1362E+01   
+4.0000E+03  +1.6414E-04  -1.6158E+01   
+5.5580E+03  +1.1753E-04  -2.2879E+01   
+7.7228E+03  +8.2918E-05  -3.2719E+01   
+1.0731E+04  +5.6303E-05  -4.5538E+01   
+1.4910E+04  +3.6796E-05  -6.1979E+01   
+2.0718E+04  +2.2018E-05  -8.1557E+01   
+2.8787E+04  +1.2161E-05  -1.0346E+02   
+4.0000E+04  +6.2620E-06  -1.2485E+02   
+5.5580E+04  +3.5547E-06  -1.5048E+02   
+7.7228E+04  +1.6588E-06  -1.9073E+02   
+1.0000E+05  +8.6921E-07  -2.0640E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0775E-02  +1.4796E+02   
+5.5579E-01  +1.3385E-02  +1.3900E+02   
+7.7227E-01  +1.5831E-02  +1.2941E+02   
+1.0731E+00  +1.7776E-02  +1.2004E+02   
+1.4910E+00  +1.9130E-02  +1.1159E+02   
+2.0718E+00  +1.9965E-02  +1.0431E+02   
+2.8787E+00  +2.0428E-02  +9.8033E+01   
+4.0000E+00  +2.0621E-02  +9.2411E+01   
+5.5580E+00  +2.0623E-02  +8.6981E+01   
+7.7228E+00  +2.0420E-02  +8.1234E+01   
+1.0731E+01  +1.9945E-02  +7.4800E+01   
+1.4910E+01  +1.9057E-02  +6.7262E+01   
+2.0718E+01  +1.7633E-02  +5.8484E+01   
+2.8787E+01  +1.5582E-02  +4.8823E+01   
+4.0000E+01  +1.3067E-02  +3.9010E+01   
+5.5580E+01  +1.0560E-02  +3.0361E+01   
+7.7228E+01  +8.0057E-03  +2.2304E+01   
+1.0731E+02  +5.9482E-03  +1.6215E+01   
+1.4910E+02  +4.3767E-03  +1.1572E+01   
+2.0718E+02  +3.1727E-03  +7.8932E+00   
+2.8787E+02  +2.2971E-03  +5.1632E+00   
+4.0000E+02  +1.6572E-03  +2.8711E+00   
+5.5580E+02  +1.1944E-03  +9.3457E-01   
+7.7228E+02  +8.5971E-04  -8.9691E-01   
+1.0731E+03  +6.1842E-04  -2.8337E+00   
+1.4910E+03  +4.4473E-04  -5.0583E+00   
+2.0718E+03  +3.1950E-04  -7.8144E+00   
+2.8787E+03  +2.2934E-04  -1.1386E+01   
+4.0000E+03  +1.6448E-04  -1.6173E+01   
+5.5580E+03  +1.1787E-04  -2.2911E+01   
+7.7228E+03  +8.3176E-05  -3.2878E+01   
+1.0731E+04  +5.6355E-05  -4.5792E+01   
+1.4910E+04  +3.6741E-05  -6.2209E+01   
+2.0718E+04  +2.1965E-05  -8.1685E+01   
+2.8787E+04  +1.2126E-05  -1.0347E+02   
+4.0000E+04  +6.2570E-06  -1.2483E+02   
+5.5580E+04  +3.5584E-06  -1.5049E+02   
+7.7228E+04  +1.6611E-06  -1.9092E+02   
+1.0000E+05  +8.6941E-07  -2.0667E+02   

