Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#635    Date: 20/11/23    Time: 10:42:27
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +2.0034E-02  +8.9231E+01   
+5.5579E-01  +1.9965E-02  +8.8979E+01   
+7.7227E-01  +2.0044E-02  +8.8600E+01   
+1.0731E+00  +1.9995E-02  +8.8094E+01   
+1.4910E+00  +1.9921E-02  +8.7407E+01   
+2.0718E+00  +1.9919E-02  +8.6417E+01   
+2.8787E+00  +1.9894E-02  +8.5057E+01   
+4.0000E+00  +1.9846E-02  +8.3153E+01   
+5.5580E+00  +1.9681E-02  +8.0562E+01   
+7.7228E+00  +1.9454E-02  +7.6979E+01   
+1.0731E+01  +1.9010E-02  +7.2221E+01   
+1.4910E+01  +1.8230E-02  +6.6004E+01   
+2.0718E+01  +1.6983E-02  +5.8267E+01   
+2.8787E+01  +1.5147E-02  +4.9286E+01   
+4.0000E+01  +1.2830E-02  +3.9837E+01   
+5.5580E+01  +1.0496E-02  +3.1047E+01   
+7.7228E+01  +7.9314E-03  +2.3131E+01   
+1.0731E+02  +5.9543E-03  +1.6775E+01   
+1.4910E+02  +4.3853E-03  +1.1726E+01   
+2.0718E+02  +3.1884E-03  +8.1167E+00   
+2.8787E+02  +2.3040E-03  +5.2018E+00   
+4.0000E+02  +1.6606E-03  +2.8593E+00   
+5.5580E+02  +1.1965E-03  +9.0586E-01   
+7.7228E+02  +8.6129E-04  -9.5342E-01   
+1.0731E+03  +6.1956E-04  -2.9031E+00   
+1.4910E+03  +4.4550E-04  -5.1824E+00   
+2.0718E+03  +3.1844E-04  -7.8664E+00   
+2.8787E+03  +2.2955E-04  -1.1679E+01   
+4.0000E+03  +1.6420E-04  -1.6633E+01   
+5.5580E+03  +1.1733E-04  -2.3540E+01   
+7.7228E+03  +8.1452E-05  -3.3647E+01   
+1.0731E+04  +5.4555E-05  -4.6148E+01   
+1.4910E+04  +3.4510E-05  -6.1656E+01   
+2.0718E+04  +1.9991E-05  -7.6714E+01   
+2.8787E+04  +1.2125E-05  -9.1487E+01   
+4.0000E+04  +7.6158E-06  -1.1682E+02   
+5.5580E+04  +4.0603E-06  -1.5381E+02   
+7.7228E+04  +1.7454E-06  -1.8606E+02   
+1.0000E+05  +1.1136E-06  -2.0395E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0805E-02  +1.4797E+02   
+5.5579E-01  +1.3414E-02  +1.3898E+02   
+7.7227E-01  +1.5854E-02  +1.2936E+02   
+1.0731E+00  +1.7801E-02  +1.1999E+02   
+1.4910E+00  +1.9151E-02  +1.1154E+02   
+2.0718E+00  +1.9984E-02  +1.0427E+02   
+2.8787E+00  +2.0445E-02  +9.8011E+01   
+4.0000E+00  +2.0643E-02  +9.2381E+01   
+5.5580E+00  +2.0635E-02  +8.6984E+01   
+7.7228E+00  +2.0431E-02  +8.1259E+01   
+1.0731E+01  +1.9961E-02  +7.4848E+01   
+1.4910E+01  +1.9087E-02  +6.7308E+01   
+2.0718E+01  +1.7655E-02  +5.8552E+01   
+2.8787E+01  +1.5615E-02  +4.8898E+01   
+4.0000E+01  +1.3092E-02  +3.9095E+01   
+5.5580E+01  +1.0356E-02  +2.9691E+01   
+7.7228E+01  +7.9928E-03  +2.2531E+01   
+1.0731E+02  +5.9674E-03  +1.6281E+01   
+1.4910E+02  +4.3732E-03  +1.1709E+01   
+2.0718E+02  +3.1837E-03  +7.9288E+00   
+2.8787E+02  +2.3048E-03  +5.1283E+00   
+4.0000E+02  +1.6616E-03  +2.8517E+00   
+5.5580E+02  +1.1980E-03  +8.9832E-01   
+7.7228E+02  +8.6248E-04  -9.8413E-01   
+1.0731E+03  +6.2049E-04  -2.9296E+00   
+1.4910E+03  +4.4617E-04  -5.2147E+00   
+2.0718E+03  +3.2050E-04  -8.0487E+00   
+2.8787E+03  +2.2989E-04  -1.1740E+01   
+4.0000E+03  +1.6450E-04  -1.6669E+01   
+5.5580E+03  +1.1776E-04  -2.3629E+01   
+7.7228E+03  +8.1583E-05  -3.3988E+01   
+1.0731E+04  +5.4473E-05  -4.6484E+01   
+1.4910E+04  +3.4379E-05  -6.1945E+01   
+2.0718E+04  +1.9892E-05  -7.6900E+01   
+2.8787E+04  +1.2059E-05  -9.1575E+01   
+4.0000E+04  +7.5756E-06  -1.1689E+02   
+5.5580E+04  +4.0500E-06  -1.5387E+02   
+7.7228E+04  +1.7408E-06  -1.8620E+02   
+1.0000E+05  +1.1110E-06  -2.0413E+02   

