Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#630    Date: 20/11/23    Time: 08:30:15
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +2.0026E-02  +8.9228E+01   
+5.5579E-01  +1.9954E-02  +8.8972E+01   
+7.7227E-01  +2.0038E-02  +8.8597E+01   
+1.0731E+00  +1.9990E-02  +8.8085E+01   
+1.4910E+00  +1.9911E-02  +8.7379E+01   
+2.0718E+00  +1.9908E-02  +8.6386E+01   
+2.8787E+00  +1.9885E-02  +8.5009E+01   
+4.0000E+00  +1.9839E-02  +8.3116E+01   
+5.5580E+00  +1.9666E-02  +8.0498E+01   
+7.7228E+00  +1.9427E-02  +7.6911E+01   
+1.0731E+01  +1.8990E-02  +7.2108E+01   
+1.4910E+01  +1.8212E-02  +6.5836E+01   
+2.0718E+01  +1.6933E-02  +5.8089E+01   
+2.8787E+01  +1.5095E-02  +4.9129E+01   
+4.0000E+01  +1.2780E-02  +3.9656E+01   
+5.5580E+01  +1.0272E-02  +3.1720E+01   
+7.7228E+01  +7.8886E-03  +2.2950E+01   
+1.0731E+02  +5.9222E-03  +1.6666E+01   
+1.4910E+02  +4.3456E-03  +1.1961E+01   
+2.0718E+02  +3.1599E-03  +8.0380E+00   
+2.8787E+02  +2.2873E-03  +5.1289E+00   
+4.0000E+02  +1.6492E-03  +2.7862E+00   
+5.5580E+02  +1.1876E-03  +8.5679E-01   
+7.7228E+02  +8.5477E-04  -1.0133E+00   
+1.0731E+03  +6.1494E-04  -2.9836E+00   
+1.4910E+03  +4.4218E-04  -5.2894E+00   
+2.0718E+03  +3.1548E-04  -8.0709E+00   
+2.8787E+03  +2.2776E-04  -1.1882E+01   
+4.0000E+03  +1.6282E-04  -1.6916E+01   
+5.5580E+03  +1.1587E-04  -2.3853E+01   
+7.7228E+03  +8.0733E-05  -3.3702E+01   
+1.0731E+04  +5.4373E-05  -4.6383E+01   
+1.4910E+04  +3.4638E-05  -6.2382E+01   
+2.0718E+04  +2.0021E-05  -7.8779E+01   
+2.8787E+04  +1.1809E-05  -9.4342E+01   
+4.0000E+04  +7.2780E-06  -1.1909E+02   
+5.5580E+04  +3.8646E-06  -1.5583E+02   
+7.7228E+04  +1.6466E-06  -1.8836E+02   
+1.0000E+05  +1.0325E-06  -2.0618E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0720E-02  +1.4813E+02   
+5.5579E-01  +1.3327E-02  +1.3918E+02   
+7.7227E-01  +1.5779E-02  +1.2958E+02   
+1.0731E+00  +1.7736E-02  +1.2018E+02   
+1.4910E+00  +1.9099E-02  +1.1170E+02   
+2.0718E+00  +1.9940E-02  +1.0437E+02   
+2.8787E+00  +2.0400E-02  +9.8068E+01   
+4.0000E+00  +2.0600E-02  +9.2421E+01   
+5.5580E+00  +2.0597E-02  +8.6977E+01   
+7.7228E+00  +2.0392E-02  +8.1233E+01   
+1.0731E+01  +1.9911E-02  +7.4762E+01   
+1.4910E+01  +1.9033E-02  +6.7178E+01   
+2.0718E+01  +1.7599E-02  +5.8424E+01   
+2.8787E+01  +1.5546E-02  +4.8710E+01   
+4.0000E+01  +1.3020E-02  +3.8965E+01   
+5.5580E+01  +1.0444E-02  +2.9048E+01   
+7.7228E+01  +7.9378E-03  +2.2497E+01   
+1.0731E+02  +5.9270E-03  +1.6158E+01   
+1.4910E+02  +4.3366E-03  +1.1439E+01   
+2.0718E+02  +3.1650E-03  +7.9033E+00   
+2.8787E+02  +2.2868E-03  +5.0900E+00   
+4.0000E+02  +1.6511E-03  +2.8478E+00   
+5.5580E+02  +1.1896E-03  +8.3693E-01   
+7.7228E+02  +8.5635E-04  -1.0299E+00   
+1.0731E+03  +6.1615E-04  -3.0035E+00   
+1.4910E+03  +4.4284E-04  -5.2982E+00   
+2.0718E+03  +3.1807E-04  -8.1626E+00   
+2.8787E+03  +2.2810E-04  -1.1910E+01   
+4.0000E+03  +1.6309E-04  -1.6920E+01   
+5.5580E+03  +1.1627E-04  -2.3876E+01   
+7.7228E+03  +8.0882E-05  -3.3931E+01   
+1.0731E+04  +5.4361E-05  -4.6581E+01   
+1.4910E+04  +3.4570E-05  -6.2537E+01   
+2.0718E+04  +1.9954E-05  -7.8840E+01   
+2.8787E+04  +1.1785E-05  -9.4329E+01   
+4.0000E+04  +7.2747E-06  -1.1902E+02   
+5.5580E+04  +3.8731E-06  -1.5586E+02   
+7.7228E+04  +1.6487E-06  -1.8855E+02   
+1.0000E+05  +1.0332E-06  -2.0640E+02   

