Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 080    Date: 18/07/11    Time: 09:43:53


 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+4.0000E-01  +1.9994E-02  +8.9289E+01   
+5.5580E-01  +2.0029E-02  +8.8916E+01    
+7.7230E-01  +1.9953E-02  +8.8618E+01    
+1.0731E+00  +1.9950E-02  +8.8075E+01    
+1.4910E+00  +1.9892E-02  +8.7413E+01    
+2.0718E+00  +1.9898E-02  +8.6424E+01    
+2.8787E+00  +1.9813E-02  +8.5089E+01    
+4.0000E+00  +1.9840E-02  +8.3163E+01    
+5.5580E+00  +1.9667E-02  +8.0565E+01    
+7.7230E+00  +1.9400E-02  +7.7023E+01    
+1.0731E+01  +1.8865E-02  +7.2346E+01    
+1.4910E+01  +1.8261E-02  +6.5962E+01    
+2.0718E+01  +1.7045E-02  +5.7939E+01    
+2.8788E+01  +1.5133E-02  +4.9382E+01    
+4.0000E+01  +1.2804E-02  +3.9976E+01    
+5.5580E+01  +1.0332E-02  +3.0326E+01    
+7.7230E+01  +7.9457E-03  +2.3372E+01    
+1.0731E+02  +5.9580E-03  +1.7076E+01    
+1.4910E+02  +4.3887E-03  +1.2259E+01    
+2.0717E+02  +3.1883E-03  +8.3668E+00    
+2.8788E+02  +2.3136E-03  +5.6009E+00    
+4.0000E+02  +1.6708E-03  +3.2446E+00    
+5.5580E+02  +1.2036E-03  +1.3037E+00    
+7.7230E+02  +8.6594E-04  -5.2965E-01    
+1.0731E+03  +6.2368E-04  -2.3685E+00    
+1.4911E+03  +4.4886E-04  -4.4635E+00    
+2.0718E+03  +3.2172E-04  -6.8721E+00    
+2.8788E+03  +2.3248E-04  -1.0340E+01    
+4.0000E+03  +1.6751E-04  -1.4795E+01    
+5.5580E+03  +1.2126E-04  -2.1123E+01    
+7.7230E+03  +8.6986E-05  -3.0594E+01    
+1.0731E+04  +6.1276E-05  -4.3467E+01    
+1.4910E+04  +4.1993E-05  -6.1797E+01    
+2.0718E+04  +2.6248E-05  -8.5191E+01    
+2.8788E+04  +1.4773E-05  -1.1354E+02    
+4.0000E+04  +7.4821E-06  -1.4500E+02    
+5.5581E+04  +3.3434E-06  +1.7818E+02    
+6.0000E+04  +2.6761E-06  +1.6971E+02    
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+4.0000E-01  +1.0524E-02  +1.4809E+02   
+5.5580E-01  +1.3101E-02  +1.3928E+02    
+7.7230E-01  +1.5507E-02  +1.2978E+02    
+1.0731E+00  +1.7486E-02  +1.2044E+02    
+1.4910E+00  +1.8856E-02  +1.1203E+02    
+2.0718E+00  +1.9703E-02  +1.0470E+02    
+2.8787E+00  +2.0195E-02  +9.8388E+01    
+4.0000E+00  +2.0416E-02  +9.2759E+01    
+5.5580E+00  +2.0423E-02  +8.7316E+01    
+7.7230E+00  +2.0256E-02  +8.1619E+01    
+1.0731E+01  +1.9785E-02  +7.5199E+01    
+1.4910E+01  +1.8924E-02  +6.7772E+01    
+2.0718E+01  +1.7628E-02  +5.9087E+01    
+2.8788E+01  +1.5556E-02  +4.9354E+01    
+4.0000E+01  +1.3089E-02  +3.9574E+01    
+5.5580E+01  +1.0357E-02  +3.1114E+01    
+7.7230E+01  +8.0240E-03  +2.2745E+01    
+1.0731E+02  +5.9787E-03  +1.6543E+01    
+1.4910E+02  +4.4005E-03  +1.1846E+01    
+2.0717E+02  +3.2046E-03  +8.3212E+00    
+2.8788E+02  +2.3155E-03  +5.3706E+00    
+4.0000E+02  +1.6725E-03  +3.1362E+00    
+5.5580E+02  +1.2050E-03  +1.2320E+00    
+7.7230E+02  +8.6703E-04  -5.4490E-01    
+1.0731E+03  +6.2484E-04  -2.4075E+00    
+1.4911E+03  +4.4980E-04  -4.5180E+00    
+2.0718E+03  +3.2367E-04  -7.1221E+00    
+2.8788E+03  +2.3294E-04  -1.0474E+01    
+4.0000E+03  +1.6790E-04  -1.4968E+01    
+5.5580E+03  +1.2159E-04  -2.1384E+01    
+7.7230E+03  +8.7158E-05  -3.1059E+01    
+1.0731E+04  +6.1267E-05  -4.4095E+01    
+1.4910E+04  +4.1819E-05  -6.2592E+01    
+2.0718E+04  +2.5993E-05  -8.6080E+01    
+2.8788E+04  +1.4537E-05  -1.1430E+02    
+4.0000E+04  +7.3294E-06  -1.4557E+02    
+5.5581E+04  +3.2670E-06  +1.7792E+02    
+6.0000E+04  +2.6148E-06  +1.6953E+02    
