Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#625    Date: 20/11/17    Time: 10:12:09
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9976E-02  +8.9272E+01   
+5.5579E-01  +1.9910E-02  +8.8983E+01   
+7.7227E-01  +1.9992E-02  +8.8611E+01   
+1.0731E+00  +1.9940E-02  +8.8089E+01   
+1.4910E+00  +1.9863E-02  +8.7380E+01   
+2.0718E+00  +1.9862E-02  +8.6380E+01   
+2.8787E+00  +1.9833E-02  +8.5013E+01   
+4.0000E+00  +1.9793E-02  +8.3093E+01   
+5.5580E+00  +1.9623E-02  +8.0451E+01   
+7.7228E+00  +1.9380E-02  +7.6884E+01   
+1.0731E+01  +1.8940E-02  +7.2040E+01   
+1.4910E+01  +1.8140E-02  +6.5734E+01   
+2.0718E+01  +1.6867E-02  +5.7982E+01   
+2.8787E+01  +1.5022E-02  +4.9024E+01   
+4.0000E+01  +1.2706E-02  +3.9566E+01   
+5.5580E+01  +1.0199E-02  +3.1412E+01   
+7.7228E+01  +7.8641E-03  +2.3122E+01   
+1.0731E+02  +5.8903E-03  +1.6805E+01   
+1.4910E+02  +4.3446E-03  +1.2142E+01   
+2.0718E+02  +3.1567E-03  +8.2585E+00   
+2.8787E+02  +2.2842E-03  +5.3396E+00   
+4.0000E+02  +1.6484E-03  +2.9852E+00   
+5.5580E+02  +1.1878E-03  +9.3471E-01   
+7.7228E+02  +8.5467E-04  -9.6912E-01   
+1.0731E+03  +6.1466E-04  -2.9388E+00   
+1.4910E+03  +4.4182E-04  -5.2226E+00   
+2.0718E+03  +3.1705E-04  -8.1549E+00   
+2.8787E+03  +2.2734E-04  -1.1715E+01   
+4.0000E+03  +1.6267E-04  -1.6567E+01   
+5.5580E+03  +1.1695E-04  -2.3672E+01   
+7.7228E+03  +8.0316E-05  -3.4293E+01   
+1.0731E+04  +5.2788E-05  -4.6618E+01   
+1.4910E+04  +3.2576E-05  -6.0618E+01   
+2.0718E+04  +1.9379E-05  -7.1892E+01   
+2.8787E+04  +1.2776E-05  -8.7110E+01   
+4.0000E+04  +8.1024E-06  -1.1606E+02   
+5.5580E+04  +4.1463E-06  -1.5320E+02   
+7.7228E+04  +1.8082E-06  -1.8410E+02   
+1.0000E+05  +1.1689E-06  -2.0345E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0706E-02  +1.4800E+02   
+5.5579E-01  +1.3314E-02  +1.3902E+02   
+7.7227E-01  +1.5733E-02  +1.2939E+02   
+1.0731E+00  +1.7672E-02  +1.2003E+02   
+1.4910E+00  +1.9010E-02  +1.1157E+02   
+2.0718E+00  +1.9839E-02  +1.0428E+02   
+2.8787E+00  +2.0290E-02  +9.8018E+01   
+4.0000E+00  +2.0489E-02  +9.2400E+01   
+5.5580E+00  +2.0488E-02  +8.6997E+01   
+7.7228E+00  +2.0281E-02  +8.1253E+01   
+1.0731E+01  +1.9810E-02  +7.4852E+01   
+1.4910E+01  +1.8941E-02  +6.7356E+01   
+2.0718E+01  +1.7528E-02  +5.8504E+01   
+2.8787E+01  +1.5498E-02  +4.8890E+01   
+4.0000E+01  +1.2999E-02  +3.9097E+01   
+5.5580E+01  +1.0447E-02  +2.9549E+01   
+7.7228E+01  +7.9442E-03  +2.2599E+01   
+1.0731E+02  +5.9256E-03  +1.6285E+01   
+1.4910E+02  +4.3366E-03  +1.1716E+01   
+2.0718E+02  +3.1596E-03  +7.9504E+00   
+2.8787E+02  +2.2873E-03  +5.1256E+00   
+4.0000E+02  +1.6499E-03  +2.8262E+00   
+5.5580E+02  +1.1891E-03  +8.7951E-01   
+7.7228E+02  +8.5605E-04  -9.8514E-01   
+1.0731E+03  +6.1586E-04  -2.9564E+00   
+1.4910E+03  +4.4274E-04  -5.2360E+00   
+2.0718E+03  +3.1793E-04  -8.0745E+00   
+2.8787E+03  +2.2789E-04  -1.1756E+01   
+4.0000E+03  +1.6305E-04  -1.6626E+01   
+5.5580E+03  +1.1737E-04  -2.3750E+01   
+7.7228E+03  +8.0501E-05  -3.4530E+01   
+1.0731E+04  +5.2806E-05  -4.6883E+01   
+1.4910E+04  +3.2523E-05  -6.0882E+01   
+2.0718E+04  +1.9328E-05  -7.2109E+01   
+2.8787E+04  +1.2730E-05  -8.7271E+01   
+4.0000E+04  +8.0698E-06  -1.1612E+02   
+5.5580E+04  +4.1367E-06  -1.5322E+02   
+7.7228E+04  +1.8051E-06  -1.8423E+02   
+1.0000E+05  +1.1665E-06  -2.0360E+02   

