Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#649    Date: 21/05/25    Time: 07:28:59
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9967E-02  +8.9233E+01   
+5.5579E-01  +1.9899E-02  +8.8980E+01   
+7.7227E-01  +1.9975E-02  +8.8595E+01   
+1.0731E+00  +1.9931E-02  +8.8101E+01   
+1.4910E+00  +1.9855E-02  +8.7390E+01   
+2.0718E+00  +1.9855E-02  +8.6394E+01   
+2.8787E+00  +1.9821E-02  +8.5049E+01   
+4.0000E+00  +1.9777E-02  +8.3133E+01   
+5.5580E+00  +1.9616E-02  +8.0506E+01   
+7.7228E+00  +1.9373E-02  +7.6963E+01   
+1.0731E+01  +1.8942E-02  +7.2128E+01   
+1.4910E+01  +1.8151E-02  +6.5895E+01   
+2.0718E+01  +1.6898E-02  +5.8127E+01   
+2.8787E+01  +1.5051E-02  +4.9152E+01   
+4.0000E+01  +1.2746E-02  +3.9720E+01   
+5.5580E+01  +1.0263E-02  +3.1619E+01   
+7.7228E+01  +7.8931E-03  +2.2871E+01   
+1.0731E+02  +5.9106E-03  +1.6856E+01   
+1.4910E+02  +4.3531E-03  +1.1862E+01   
+2.0718E+02  +3.1687E-03  +8.2436E+00   
+2.8787E+02  +2.2944E-03  +5.3584E+00   
+4.0000E+02  +1.6553E-03  +3.0489E+00   
+5.5580E+02  +1.1921E-03  +1.0014E+00   
+7.7228E+02  +8.5793E-04  -8.7513E-01   
+1.0731E+03  +6.1707E-04  -2.8284E+00   
+1.4910E+03  +4.4366E-04  -5.0812E+00   
+2.0718E+03  +3.1771E-04  -8.0405E+00   
+2.8787E+03  +2.2857E-04  -1.1488E+01   
+4.0000E+03  +1.6350E-04  -1.6355E+01   
+5.5580E+03  +1.1652E-04  -2.3046E+01   
+7.7228E+03  +8.1583E-05  -3.2672E+01   
+1.0731E+04  +5.5199E-05  -4.5074E+01   
+1.4910E+04  +3.5551E-05  -6.0821E+01   
+2.0718E+04  +2.0945E-05  -7.7590E+01   
+2.8787E+04  +1.2320E-05  -9.4743E+01   
+4.0000E+04  +7.3895E-06  -1.1885E+02   
+5.5580E+04  +3.9908E-06  -1.5415E+02   
+7.7228E+04  +1.7171E-06  -1.8790E+02   
+1.0000E+05  +1.0553E-06  -2.0520E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0611E-02  +1.4811E+02   
+5.5579E-01  +1.3195E-02  +1.3918E+02   
+7.7227E-01  +1.5619E-02  +1.2961E+02   
+1.0731E+00  +1.7559E-02  +1.2024E+02   
+1.4910E+00  +1.8912E-02  +1.1178E+02   
+2.0718E+00  +1.9748E-02  +1.0447E+02   
+2.8787E+00  +2.0213E-02  +9.8181E+01   
+4.0000E+00  +2.0418E-02  +9.2544E+01   
+5.5580E+00  +2.0420E-02  +8.7133E+01   
+7.7228E+00  +2.0230E-02  +8.1433E+01   
+1.0731E+01  +1.9762E-02  +7.5015E+01   
+1.4910E+01  +1.8902E-02  +6.7454E+01   
+2.0718E+01  +1.7520E-02  +5.8747E+01   
+2.8787E+01  +1.5503E-02  +4.9091E+01   
+4.0000E+01  +1.3011E-02  +3.9305E+01   
+5.5580E+01  +1.0536E-02  +2.9979E+01   
+7.7228E+01  +7.9506E-03  +2.2714E+01   
+1.0731E+02  +5.9352E-03  +1.6421E+01   
+1.4910E+02  +4.3737E-03  +1.1653E+01   
+2.0718E+02  +3.1694E-03  +8.0387E+00   
+2.8787E+02  +2.2947E-03  +5.2274E+00   
+4.0000E+02  +1.6562E-03  +2.9111E+00   
+5.5580E+02  +1.1933E-03  +9.9245E-01   
+7.7228E+02  +8.5911E-04  -8.4758E-01   
+1.0731E+03  +6.1814E-04  -2.7814E+00   
+1.4910E+03  +4.4473E-04  -5.0097E+00   
+2.0718E+03  +3.1936E-04  -7.7738E+00   
+2.8787E+03  +2.2913E-04  -1.1386E+01   
+4.0000E+03  +1.6391E-04  -1.6220E+01   
+5.5580E+03  +1.1679E-04  -2.2853E+01   
+7.7228E+03  +8.1856E-05  -3.2301E+01   
+1.0731E+04  +5.5550E-05  -4.4636E+01   
+1.4910E+04  +3.5904E-05  -6.0416E+01   
+2.0718E+04  +2.1222E-05  -7.7309E+01   
+2.8787E+04  +1.2488E-05  -9.4636E+01   
+4.0000E+04  +7.4932E-06  -1.1887E+02   
+5.5580E+04  +4.0421E-06  -1.5435E+02   
+7.7228E+04  +1.7332E-06  -1.8820E+02   
+1.0000E+05  +1.0627E-06  -2.0552E+02   

