Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#624    Date: 20/11/17    Time: 08:42:53
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9989E-02  +8.9269E+01   
+5.5579E-01  +1.9920E-02  +8.8988E+01   
+7.7227E-01  +1.9983E-02  +8.8593E+01   
+1.0731E+00  +1.9956E-02  +8.8106E+01   
+1.4910E+00  +1.9881E-02  +8.7412E+01   
+2.0718E+00  +1.9874E-02  +8.6428E+01   
+2.8787E+00  +1.9839E-02  +8.5028E+01   
+4.0000E+00  +1.9805E-02  +8.3108E+01   
+5.5580E+00  +1.9647E-02  +8.0545E+01   
+7.7228E+00  +1.9407E-02  +7.7030E+01   
+1.0731E+01  +1.8966E-02  +7.2172E+01   
+1.4910E+01  +1.8170E-02  +6.6011E+01   
+2.0718E+01  +1.6927E-02  +5.8234E+01   
+2.8787E+01  +1.5097E-02  +4.9269E+01   
+4.0000E+01  +1.2790E-02  +3.9784E+01   
+5.5580E+01  +1.0248E-02  +3.1582E+01   
+7.7228E+01  +7.9186E-03  +2.2912E+01   
+1.0731E+02  +5.9359E-03  +1.6813E+01   
+1.4910E+02  +4.3742E-03  +1.1964E+01   
+2.0718E+02  +3.1767E-03  +8.1546E+00   
+2.8787E+02  +2.2971E-03  +5.2908E+00   
+4.0000E+02  +1.6556E-03  +2.9589E+00   
+5.5580E+02  +1.1932E-03  +1.0055E+00   
+7.7228E+02  +8.5882E-04  -8.1567E-01   
+1.0731E+03  +6.1792E-04  -2.7289E+00   
+1.4910E+03  +4.4432E-04  -4.9315E+00   
+2.0718E+03  +3.1752E-04  -7.8029E+00   
+2.8787E+03  +2.2908E-04  -1.1223E+01   
+4.0000E+03  +1.6391E-04  -1.6005E+01   
+5.5580E+03  +1.1695E-04  -2.2585E+01   
+7.7228E+03  +8.1884E-05  -3.2079E+01   
+1.0731E+04  +5.5518E-05  -4.4288E+01   
+1.4910E+04  +3.5727E-05  -6.0017E+01   
+2.0718E+04  +2.1046E-05  -7.6012E+01   
+2.8787E+04  +1.2599E-05  -9.2025E+01   
+4.0000E+04  +7.8264E-06  -1.1672E+02   
+5.5580E+04  +4.2190E-06  -1.5359E+02   
+7.7228E+04  +1.8126E-06  -1.8706E+02   
+1.0000E+05  +1.1377E-06  -2.0527E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0653E-02  +1.4825E+02   
+5.5579E-01  +1.3255E-02  +1.3934E+02   
+7.7227E-01  +1.5711E-02  +1.2975E+02   
+1.0731E+00  +1.7668E-02  +1.2034E+02   
+1.4910E+00  +1.9031E-02  +1.1183E+02   
+2.0718E+00  +1.9880E-02  +1.0449E+02   
+2.8787E+00  +2.0360E-02  +9.8204E+01   
+4.0000E+00  +2.0557E-02  +9.2526E+01   
+5.5580E+00  +2.0547E-02  +8.7077E+01   
+7.7228E+00  +2.0349E-02  +8.1411E+01   
+1.0731E+01  +1.9885E-02  +7.4902E+01   
+1.4910E+01  +1.9019E-02  +6.7351E+01   
+2.0718E+01  +1.7599E-02  +5.8604E+01   
+2.8787E+01  +1.5559E-02  +4.8954E+01   
+4.0000E+01  +1.3052E-02  +3.9152E+01   
+5.5580E+01  +1.0409E-02  +2.9403E+01   
+7.7228E+01  +7.9772E-03  +2.2298E+01   
+1.0731E+02  +5.9482E-03  +1.6340E+01   
+1.4910E+02  +4.3661E-03  +1.1441E+01   
+2.0718E+02  +3.1756E-03  +7.9802E+00   
+2.8787E+02  +2.2960E-03  +5.2035E+00   
+4.0000E+02  +1.6583E-03  +2.9584E+00   
+5.5580E+02  +1.1946E-03  +1.0087E+00   
+7.7228E+02  +8.5980E-04  -7.9246E-01   
+1.0731E+03  +6.1892E-04  -2.7033E+00   
+1.4910E+03  +4.4504E-04  -4.8839E+00   
+2.0718E+03  +3.1976E-04  -7.6144E+00   
+2.8787E+03  +2.2944E-04  -1.1164E+01   
+4.0000E+03  +1.6422E-04  -1.5944E+01   
+5.5580E+03  +1.1701E-04  -2.2506E+01   
+7.7228E+03  +8.2045E-05  -3.1755E+01   
+1.0731E+04  +5.5794E-05  -4.3931E+01   
+1.4910E+04  +3.5991E-05  -5.9698E+01   
+2.0718E+04  +2.1258E-05  -7.5829E+01   
+2.8787E+04  +1.2724E-05  -9.1956E+01   
+4.0000E+04  +7.9052E-06  -1.1670E+02   
+5.5580E+04  +4.2585E-06  -1.5369E+02   
+7.7228E+04  +1.8262E-06  -1.8723E+02   
+1.0000E+05  +1.1445E-06  -2.0549E+02   

